"a_Name","City","State","Region","Profit_Status_","Year","Total_Revenue","Net_Income","Net_Patient_Revenue","Total_Operating_Expense","Operating_Income","Interest_Expense","Bad_Debt","Total_Assets","Total_Liabilities","Net_Assets_Equity","LongTerm_Liabilities","Current_Assets","Current_Liabilities","Net_Patient_Accounts_Receivable","Total_Operating_Revenue","Cash_and_Cash_Equivalents","Depreciation_and_Amortization","EBITDA_EBIDA","Audited_by"
"Adena Health System (OH)","Chillicothe","OH","Midwest","Not-For-Profit","2017","486261540","32907063","462407590","453354477","17242231","6941431","13957000","606918060","281337574","325580486","213954261","108344389","67383313","64222755","470596708","28819543","24654977","48838639",""
"Adena Health System (OH)","Chillicothe","OH","Midwest","Not-For-Profit","2016","448019371","16668546","427850009","431350825","5811003","8498435","16063296","525409864","231134734","294275130","172524485","157338670","58610249","57268333","437161828","76879564","22680825","36990263",""
"Adena Health System (OH)","Chillicothe","OH","Midwest","Not-For-Profit","2015","421482179","-13271288","432087086","434753467","6844712","8397747","25421220","502408367","227287108","275121259","174785486","140633001","52501622","75661174","441598179","40204259","22680825","37923284",""
"Adena Health System (OH)","Chillicothe","OH","Midwest","Not-For-Profit","2014","433865240","11568145","417611747","422297095","5818841","8462222","19087179","489156005","224116723","265039282","173787474","126669736","50329249","54453222","428115936","35836255","22335845","36616908",""
"Adena Health System (OH)","Chillicothe","OH","Midwest","Not-For-Profit","2013","424429547","20881369","400904350","403548178","300195000","8946365","27280761","473315524","222705081","250610443","175977406","158237735","46727675","50669242","410065334","34582037","22734990","38198511",""
"Adena Health System (OH)","Chillicothe","OH","Midwest","Not-For-Profit","2012","407184108","4775678","380221489","402408430","-12113824","9096183","29621949","451895781","232230237","219665544","185959971","139812602","46270266","42755234","390294606","","","",""
"Adena Health System (OH)","Chillicothe","OH","Midwest","Not-For-Profit","2011","350233565","-8558082","345439044","358791647","-10107960","9019457","34351874","435956200","231925879","204030321","195483944","134412114","36441935","46161204","348683687","","","",""
"Adventist Health System (FL)","Altamonte Springs","FL","South","Not-For-Profit","2017","10473521000","1123166000","9644644000","9350355000","732770000","89663000","568000000","15467851000","5899066000","9382119000","3317817000","8263575000","2581249000","478091000","10083125000","338346000","533664000","1356097000",""
"Adventist Health System (FL)","Altamonte Springs","FL","South","Not-For-Profit","2016","9741248000","755719000","9266660000","8985529000","666160000","100446000","514944000","14245138000","5843977000","8401161000","3436526000","7413654000","2407451000","497627000","9651689000","638469000","504008000","1270614000","Ernst & Young LLP"
"Adventist Health System (FL)","Altamonte Springs","FL","South","Not-For-Profit","2015","8984784000","579476000","8788086000","8405308000","710879000","115267000","472088000","12991166000","5396815000","7594351000","3264940000","6611806000","2131875000","447761000","9116187000","1280902000","482038000","1308184000","Ernst & Young LLP"
"Adventist Health System (FL)","Altamonte Springs","FL","South","Not-For-Profit","2014","8431503000","612415000","8042214000","7819088000","564292000","137580000","428035000","12799403000","5802896000","6996507000","3932133000","6381137000","1870763000","368193000","8383380000","1079253000","461889000","1163761000","Ernst & Young LLP"
"Adventist Health System (FL)","Altamonte Springs","FL","South","Not-For-Profit","2013","7675661000","578241000","7239546000","7097420000","500379000","132154000","426710000","11708294000","5387886000","6320408000","3963010000","5711434000","1424876000","345133000","7597799000","966141000","433720000","1066253000","Ernst & Young LLP"
"Adventist Health System (FL)","Altamonte Springs","FL","South","Not-For-Profit","2012","7341913000","507786000","7014461000","6834127000","512470000","146524000","330877000","10645095000","4889188000","5755907000","3611870000","5066359000","1277318000","311406000","7346597000","","","",""
"Adventist Health System (FL)","Altamonte Springs","FL","South","Not-For-Profit","2011","7037474000","478127000","6663085000","6559347000","426595000","163856000","260508000","10096593000","4950435000","5146158000","3762852000","4775890000","1187583000","354847000","6985942000","","","",""
"Adventist Health West (CA)","Roseville","CA","West","Not-For-Profit","2017","4140357000","229784000","3724405000","3910573000","203949000","45151000","85269000","5057048000","2729592000","2327456000","2063834000","1931507000","665758000","467210000","4114522000","728269000","165024000","414124000",""
"Adventist Health West (CA)","Roseville","CA","West","Not-For-Profit","2016","3875468000","169059000","3550180000","3706409000","182786000","45585000","92271000","4749294000","2621796000","2127498000","2001895000","1836378000","619901000","513516000","3889195000","579659000","165604000","393975000","Ernst & Young LLP"
"Adventist Health West (CA)","Roseville","CA","West","Not-For-Profit","2015","3688972000","237608000","3295765000","3451364000","125009000","41129000","133987000","4251828000","2309731000","1942097000","1819179000","1240835000","490552000","530713000","3576373000","307073000","164182000","330320000","Ernst & Young LLP"
"Adventist Health West (CA)","Roseville","CA","West","Not-For-Profit","2014","3262863000","117747000","2982827000","3145116000","95894000","34123000","122969000","3683269000","1967815000","1715454000","1549630000","1101482000","418185000","440374000","3241010000","293934000","152635000","282652000","Ernst & Young LLP"
"Adventist Health West (CA)","Roseville","CA","West","Not-For-Profit","2013","3052099000","55054000","2794378000","2997045000","55054000","34588000","137890000","3475967000","1894257000","1581710000","1481110000","930462000","413147000","384931000","3052099000","","","",""
"Adventist Health West (CA)","Roseville","CA","West","Not-For-Profit","2012","2925548000","133087000","2704117000","2792461000","133087000","35734000","155664000","3268825000","1740682000","1528143000","1363116000","876172000","377566000","362346000","2925548000","","","",""
"Adventist Health West (CA)","Roseville","CA","West","Not-For-Profit","2011","2653309000","97330000","2485076000","2555979000","97330000","35747000","113865000","3090035000","1710627000","1379408000","1340903000","777298000","369724000","357638000","2653309000","","","",""
"Adventist HealthCare (MD)","Gaithersburg","MD","South","Not-For-Profit","2017","814356553","26502404","770054126","787854149","20264299","10353452","31782541","1216612679","791395079","425217600","625551229","367786461","165843850","93209946","808118448","40714884","36463353","67081104",""
"Adventist HealthCare (MD)","Gaithersburg","MD","South","Not-For-Profit","2016","782418240","21615082","738824746","760803158","19127987","10362411","35002586","1140573609","742697783","397875826","589415976","346312132","153281807","91827593","779931145","30198079","36746661","66237059",""
"Adventist HealthCare (MD)","Gaithersburg","MD","South","Not-For-Profit","2015","741070083","24018019","699914632","717052064","23561216","9318829","33692615","879753121","482637163","397115958","308138110","323350305","174499053","102100614","740613280","45638591","34867628","67747673",""
"Adventist HealthCare (MD)","Gaithersburg","MD","South","Not-For-Profit","2014","694072836","11131332","657704902","682941504","12366872","9627275","53039754","879490668","496209335","383281333","334494743","335087359","161714592","107266506","695308376","62058533","33269001","55263148",""
"Adventist HealthCare (MD)","Gaithersburg","MD","South","Not-For-Profit","2013","671743262","12288381","621757153","659454881","293200","8365613","43172646","871589011","498965877","372623134","293098028","350188616","205867849","127698502","659748081","58692102","31059309","39718122",""
"Adventist HealthCare (MD)","Gaithersburg","MD","South","Not-For-Profit","2012","657047960","10507412","614062223","646540548","1459546","9782884","46135114","847419593","485806536","361613057","310029049","345268954","175777487","7591375000","648000094","","","",""
"Adventist HealthCare (MD)","Gaithersburg","MD","South","Not-For-Profit","2011","755597037","15696528","721076997","739900509","20780586","12548031","37981741","859458685","506517231","352941454","348202844","341127151","158314387","129749725","760681095","","","",""
"Advocate Health Care (IL)","Downers Grove","IL","Midwest","Not-For-Profit","2017","6825057000","811343000","4515229000","5970964000","219699000","58900000","237310000","11106494000","4076432000","7030062000","2512587000","1626744000","1563845000","746392000","6233413000","411133000","294280000","572879000",""
"Advocate Health Care (IL)","Downers Grove","IL","Midwest","Not-For-Profit","2016","5921420000","597604000","4792871000","5323816000","263604000","54721000","269463000","10171079000","4042830000","6128249000","2638416000","1287842000","1404414000","680979000","5587420000","151588000","268846000","587171000","Ernst & Young LLP"
"Advocate Health Care (IL)","Downers Grove","IL","Midwest","Not-For-Profit","2015","5140632000","78605000","4664440000","5062027000","330535000","45733000","220171000","9622298000","4109052000","5513246000","2667868000","1242469000","1441184000","603462000","5392562000","203792000","256441000","632709000","Ernst & Young LLP"
"Advocate Health Care (IL)","Downers Grove","IL","Midwest","Not-For-Profit","2014","5260073000","369607000","4496600000","4890466000","339259000","56811000","289597000","9523723000","4071330000","5452393000","2632272000","1322268000","1439058000","633743000","5229725000","272912000","239596000","635666000","Ernst & Young LLP"
"Advocate Health Care (IL)","Downers Grove","IL","Midwest","Not-For-Profit","2013","5403127000","765320000","4214479000","4637807000","300195000","55299000","253989000","9049946000","3921511000","5128435000","2540915000","1524917000","1380596000","567033000","4938002000","563229000","211648000","567142000",""
"Advocate Health Care (IL)","Downers Grove","IL","Midwest","Not-For-Profit","2012","4969079000","671656000","3893366000","4297423000","298275000","45953000","212305000","7777199000","3512286000","4264913000","2255573000","1292774000","1256713000","530719000","4595698000","","","",""
"Advocate Health Care (IL)","Downers Grove","IL","Midwest","Not-For-Profit","2011","4254761000","148353000","3737622000","4106408000","300812000","45141000","211507000","6977193000","3417688000","3559505000","2133150000","1192973000","1284538000","509632000","4407220000","","","",""
"Agnesian HealthCare (WI)","Fond Du Lac","WI","Midwest","Not-For-Profit","2017","488782000","11264000","470085000","477518000","2436000","6508000","14690000","660428000","257228000","403200000","206811000","97115000","50417000","68775000","479954000","15472000","26858000","35802000",""
"Agnesian HealthCare (WI)","Fond Du Lac","WI","Midwest","Not-For-Profit","2016","474734000","19945000","456145000","454789000","11441000","6593000","16837000","631501000","256117000","375384000","206206000","115594000","49911000","68294000","466230000","32418000","26035000","44069000",""
"Agnesian HealthCare (WI)","Fond Du Lac","WI","Midwest","Not-For-Profit","2015","456731000","29129000","437437000","427602000","19283000","5303000","13960000","632732000","255953000","376779000","208744000","108873000","47209000","61479000","446885000","33793000","24286000","48872000",""
"Agnesian HealthCare (WI)","Fond Du Lac","WI","Midwest","Not-For-Profit","2014","428599000","22611000","410321000","405988000","15462000","4584000","17420000","612776000","257999000","354777000","212820000","100497000","45179000","60963000","421450000","24600000","22478000","42524000",""
"Agnesian HealthCare (WI)","Fond Du Lac","WI","Midwest","Not-For-Profit","2013","420133000","30409000","405145000","389724000","23193000","9389013","18623000","568825000","255529000","313296000","213467000","98011000","42062000","56389000","412917000","","","",""
"Agnesian HealthCare (WI)","Fond Du Lac","WI","Midwest","Not-For-Profit","2012","398592000","28010000","386682000","370582000","24669000","4174000","14943000","462925000","188539000","274386000","150517000","85947000","38022000","53722000","395251000","","","",""
"Agnesian HealthCare (WI)","Fond Du Lac","WI","Midwest","Not-For-Profit","2011","374316000","37662000","355275000","336654000","24760000","5719000","12957000","448241000","196284000","251957000","151278000","91319000","45006000","47760000","361414000","","","",""
"Akron General Health System (OH)","Akron","OH","Midwest","Not-For-Profit","2014","633344000","18530000","606419000","614814000","17613000","4600000","30380000","657923000","371693000","286230000","285577000","147424000","86116000","58786000","632427000","31003000","32819000","55032000","Ernst & Young LLP"
"Akron General Health System (OH)","Akron","OH","Midwest","Not-For-Profit","2013","599233000","9247000","554169000","589986000","-6862000","4382000","40408000","528382000","337699000","190683000","264018000","106558000","73681000","55375000","583124000","17012000","32324000","29844000","Ernst & Young LLP"
"Akron General Health System (OH)","Akron","OH","Midwest","Not-For-Profit","2012","595965000","-4797000","565543000","600762000","-12728000","3556000","50702000","527368000","376722000","150646000","295006000","130463000","81716000","67924000","588034000","","","",""
"Akron General Health System (OH)","Akron","OH","Midwest","Not-For-Profit","2011","555293000","-10399000","543608000","565692000","-2580000","3129000","44775000","468092000","296629000","171463000","212283000","119936000","84346000","71379000","563112000","","","",""
"Albany Medical Center Hospital (NY)","Albany","NY","Northeast","Not-For-Profit","2016","1405926000","20353000","1268570000","1385573000","13655000","24373000","23810000","1497954000","898236000","599718000","637143000","426164000","261093000","135478000","1399228000","137019000","82239000","120267000","KPMG"
"Albany Medical Center Hospital (NY)","Albany","NY","Northeast","Not-For-Profit","2015","1172055000","25496000","1057769000","1146559000","20629000","23277000","16931000","1349336000","831377000","517959000","613600000","300054000","217777000","118458000","1167188000","123645000","69111000","113017000","KPMG"
"Albany Medical Center Hospital (NY)","Albany","NY","Northeast","Not-For-Profit","2014","1107907000","40406000","995903000","1067501000","34704000","22511000","16310000","1306946000","794414000","512532000","588965000","291099000","205449000","122023000","1102205000","113838000","66868000","124083000","KPMG"
"Albany Medical Center Hospital (NY)","Albany","NY","Northeast","Not-For-Profit","2013","983580000","13087000","878300000","970493000","10152000","10674000","18397000","1248655000","749867000","498788000","563757000","270005000","186110000","107348000","980645000","117405000","55813000","76639000","KPMG"
"Albany Medical Center Hospital (NY)","Albany","NY","Northeast","Not-For-Profit","2012","951757000","30737000","834891000","921020000","14206000","7182000","17990000","1060790000","677087000","383703000","505157000","262282000","171930000","94144000","935226000","","","",""
"Albany Medical Center Hospital (NY)","Albany","NY","Northeast","Not-For-Profit","2011","874404000","21051000","780936000","853353000","20619000","7602000","22741000","864359000","556835000","307524000","401766000","236509000","155069000","98841000","873972000","","","",""
"Albert Einstein Healthcare Network (PA)","Philadelphia","PA","Northeast","Not-For-Profit","2017","1194759000","-24768000","1162054000","1240947000","-23094000","21296000","33829000","1521582000","1123970000","397612000","932153000","358203000","191817000","130744000","1217853000","113747000","66676000","72074000",""
"Albert Einstein Healthcare Network (PA)","Philadelphia","PA","Northeast","Not-For-Profit","2016","1213937000","26070000","1142857000","1187867000","2342000","21118000","29935000","1537834000","1185875000","351959000","973345000","357509000","212530000","139673000","1190209000","152627000","63149000","86609000","PWC"
"Albert Einstein Healthcare Network (PA)","Philadelphia","PA","Northeast","Not-For-Profit","2015","1078232000","-27697000","1051958000","1105929000","-1053000","24184000","29043000","1550987000","1119075000","431912000","869635000","321042000","249440000","154268000","1104876000","104739000","61108000","84239000","PWC"
"Albert Einstein Healthcare Network (PA)","Philadelphia","PA","Northeast","Not-For-Profit","2014","1091282000","12666000","1004497000","1078616000","-20717000","25045000","27949000","1541335000","997520000","543815000","770507000","249710000","227013000","129444000","1057899000","50905000","57560000","61888000","PWC"
"Albert Einstein Healthcare Network (PA)","Philadelphia","PA","Northeast","Not-For-Profit","2013","1083887000","515000","998290000","1083372000","-26776000","21191000","22755000","1533280000","1007894000","525386000","783056000","250545000","224838000","122435000","1056596000","50669000","51860000","46275000",""
"Albert Einstein Healthcare Network (PA)","Philadelphia","PA","Northeast","Not-For-Profit","2012","823706000","-107066000","870823000","930772000","-121637000","8192000","21335000","1526918000","1085327000","441591000","873748000","229511000","211579000","101622000","809135000","","","",""
"Alice Hyde Medical Center (NY)","Malone","NY","Northeast","Not-For-Profit","2013","66404063","-787751","61780535","67191814","-886343","305172","2398000","77817561","47746221","30071340","26872345","18885173","20873876","8731088","66305471","","","",""
"Alice Hyde Medical Center (NY)","Malone","NY","Northeast","Not-For-Profit","2012","68600321","-79427","63571321","68679748","-177594","377617","2336000","39770508","16620003","23150505","4097773","12444181","12522230","9210679","68502154","","","",""
"All Children's Hospital (FL)","Petersburg","FL","South","Not-For-Profit","2014","452390000","52974000","381673000","399416000","25448000","5785000","6149000","970558000","337326000","633232000","257360000","213192000","79966000","60031000","424864000","123464000","36529000","67762000",""
"All Children's Hospital (FL)","Petersburg","FL","South","Not-For-Profit","2013","419021000","45060000","358963000","373961000","22836000","6253000","10370000","931205000","331321000","599884000","258462000","182460000","72859000","35386000","396797000","117001000","36518000","65607000",""
"All Children's Hospital (FL)","Petersburg","FL","South","Not-For-Profit","2012","350684000","50000","346759000","350634000","35073000","5933000","8926000","906904000","341893000","565011000","273245000","161350000","68648000","35538000","385707000","","","",""
"Allegiance Health Management (LA)","Shreveport","LA","South","For-Profit","2014","473027926","21152012","426485330","451875914","-10369729","5954221","40927175","526850093","291091397","235758696","206446438","82607679","84644959","50719664","441506185","","","",""
"Allegiance Health Management (LA)","Shreveport","LA","South","For-Profit","2013","444197271","10643867","403833281","433553404","-13157656","7586790","42733028","513812272","307616369","206195903","227150743","76900926","80465626","42361035","420395748","","","",""
"Allegiance Health Management (LA)","Shreveport","LA","South","For-Profit","2012","406228933","-3723378","399067579","409952311","5874475","7736165","36083284","490258778","303786928","186471850","249635190","94375070","54151738","46197874","415826786","","","",""
"Allegiance Health Management (LA)","Shreveport","LA","South","For-Profit","2011","425096496","33210266","387893504","391886230","7431124","7229713","31734583","488344519","286383300","201961219","230915504","86243011","55467796","44053541","399317354","","","",""
"Allina Health (MN)","Minneapolis","MN","Midwest","Not-For-Profit","2017","4284635000","295402000","3851703000","3989233000","145867000","39204000","118272000","4642762000","1940843000","2701919000","1370905000","1223708000","569938000","506044000","4135100000","147520000","175378000","360449000","KPMG"
"Allina Health (MN)","Minneapolis","MN","Midwest","Not-For-Profit","2016","3889043000","60601000","3691759000","3828442000","119247000","37726000","85604000","4191277000","1803141000","2388136000","1227913000","1253024000","575228000","470216000","3947689000","172710000","165433000","322406000","KPMG"
"Allina Health (MN)","Minneapolis","MN","Midwest","Not-For-Profit","2015","3778392000","130521000","3522447000","3647871000","149021000","28245000","98536000","4127189000","1813906000","2313283000","1260014000","1326873000","553892000","465058000","3796892000","349115000","155253000","332519000","KPMG"
"Allina Health (MN)","Minneapolis","MN","Midwest","Not-For-Profit","2014","3604628000","146891000","3372186000","3457737000","145944000","24392000","93547000","3741917000","1563784000","2178133000","1033839000","1122718000","529945000","419522000","3603681000","180985000","147844000","318180000","KPMG"
"Allina Health (MN)","Minneapolis","MN","Midwest","Not-For-Profit","2013","3613583000","326457000","3200956000","3287126000","133439000","24591000","90581000","3533363000","1521969000","2011394000","984715000","981129000","537254000","405095000","3420565000","132704000","138145000","296175000","KPMG"
"Allina Health (MN)","Minneapolis","MN","Midwest","Not-For-Profit","2012","3350820000","200481000","3096915000","3150339000","128034000","25989000","76201000","3208724000","1571486000","1637238000","1060815000","987756000","510671000","385761000","3278373000","","","",""
"Allina Health (MN)","Minneapolis","MN","Midwest","Not-For-Profit","2011","3098239000","101518000","2985389000","2996721000","163740000","25809000","78026000","2956739000","1547478000","1409261000","1057851000","942931000","489627000","379232000","3160461000","","","",""
"Altru Health System (ND)","Grand Forks","ND","Midwest","Not-For-Profit","2017","566950489","2986782","523335184","563963707","772980","8602086","9880302","562191271","281222172","280969099","225475903","320178922","55746269","76881317","564736687","34970299","26829770","36204836",""
"Altru Health System (ND)","Grand Forks","ND","Midwest","Not-For-Profit","2016","547564381","10084340","513508768","537480041","13833484","8719051","9255097","514374146","261234025","253140121","201358056","276268594","59875969","65208625","551313525","51429907","27304334","49856869",""
"Altru Health System (ND)","Grand Forks","ND","Midwest","Not-For-Profit","2015","528611063","21688198","489157383","506922865","19833071","8543232","11570421","510996312","267313749","243682563","208689758","270730636","58623991","69705094","526755936","53683657","28391468","56767771",""
"Altru Health System (ND)","Grand Forks","ND","Midwest","Not-For-Profit","2014","494461079","22731652","457628461","471729427","17583625","8675200","16525680","502851778","277947574","224904204","221026910","253652988","56920664","71594197","489313052","39352254","29039958","55298783",""
"Altru Health System (ND)","Grand Forks","ND","Midwest","Not-For-Profit","2013","467728210","8775435","426142497","458952775","-1564170","8598024","23981119","486540569","272364656","214175913","216301293","227346626","56063363","69015551","457388605","35054439","27031101","34064955",""
"Altru Health System (ND)","Grand Forks","ND","Midwest","Not-For-Profit","2012","454872382","16277739","423222673","438594643","13816600","7446444","24718549","482262858","294349948","187912910","241866691","238435135","52483257","75733118","452411243","","","",""
"Altru Health System (ND)","Grand Forks","ND","Midwest","Not-For-Profit","2011","413294306","18094022","385394008","395200284","12195597","6549921","29151584","406056996","238884396","167172600","184584345","240610408","54300051","69838953","407395881","","","",""
"AnMed Health (SC)","Anderson","SC","South","Not-For-Profit","2017","572970656","41939130","564674484","531031526","-17749570","8914422","64548415","914852300","341448733","573403567","268128916","125453412","73319817","68426867","513281956","20782738","43368172","34533024",""
"AnMed Health (SC)","Anderson","SC","South","Not-For-Profit","2016","532222474","-32324744","493372340","564547218","-59648451","10140596","76683624","892313461","359906745","532406716","276252745","122099142","83654000","65791370","504898767","27625953","35544058","-13963797",""
"AnMed Health (SC)","Anderson","SC","South","Not-For-Profit","2015","486478047","-1627530","487052452","488105577","11416754","10551472","113056436","845375799","353348406","492027393","272669677","145255169","80678729","62122812","499522331","54120422","38027449","59995675",""
"AnMed Health (SC)","Anderson","SC","South","Not-For-Profit","2014","486537375","37872302","456101475","448665073","19386994","9497389","114298185","830563291","365430884","465132407","306251738","124710298","59179146","60198010","468052067","36809580","39064190","67948573",""
"AnMed Health (SC)","Anderson","SC","South","Not-For-Profit","2013","531340813","84105744","450089718","447235069","15987402","9533119","107775594","783478002","326517681","456960321","259057752","135474317","67459929","64485519","463222471","40406839","38667261","64187782",""
"AnMed Health (SC)","Anderson","SC","South","Not-For-Profit","2012","574911063","64933928","514576825","509977135","22604950","12264661","139153313","706267050","380286406","325980644","324986512","113066643","55299894","54857939","532582085","","","",""
"AnMed Health (SC)","Anderson","SC","South","Not-For-Profit","2011","379199202","-7157910","375888631","386357112","-1322365","10342555","96623806","645626066","384738175","260887891","334344716","121633900","50393459","58860731","385034747","","","",""
"Anne Arundel Health System (MD)","Annapolis","MD","South","Not-For-Profit","2017","642148000","59490000","664860000","690016000","5811000","13722000","17590000","1052317000","606147000","446170000","515173000","187554000","90974000","71800000","695827000","71504000","35760000","",""
"Anne Arundel Health System (MD)","Annapolis","MD","South","Not-For-Profit","2016","622479000","-20171000","635741000","642650000","25039000","13340000","16122000","1027648000","652052000","375596000","543126000","184925000","108926000","70639000","667689000","77674000","35377000","73756000","Ernst & Young LLP"
"Anne Arundel Health System (MD)","Annapolis","MD","South","Not-For-Profit","2015","587286000","-20970000","605225000","608256000","25449000","14427000","19431000","1054121000","639046000","415075000","522375000","199086000","116671000","61854000","633705000","99625000","36267000","76143000","Ernst & Young LLP"
"Anne Arundel Health System (MD)","Annapolis","MD","South","Not-For-Profit","2014","613562000","36883000","562937000","576679000","14438000","16349000","29295000","1054507000","608560000","445947000","501259000","184921000","107301000","68622000","591117000","76168000","37032000","",""
"Anne Arundel Health System (MD)","Annapolis","MD","South","Not-For-Profit","2013","612608000","43010000","545539000","569598000","2824000","17226000","26563000","1026195000","622356000","403839000","517356000","163558000","105000000","77812000","572422000","","","",""
"Anne Arundel Health System (MD)","Annapolis","MD","South","Not-For-Profit","2012","509197000","-35079000","527335000","544276000","10742000","18226000","23544000","1016750000","667882000","348868000","556002000","118737000","111880000","60781000","555018000","","","",""
"Anne Arundel Health System (MD)","Annapolis","MD","South","Not-For-Profit","2011","559595000","54911000","477982000","504684000","14382000","10899000","19703000","1012917000","611783000","401134000","507695000","135250000","104088000","61449000","519066000","","","",""
"Antelope Valley Healthcare District (CA)","Lancaster","CA","West","Not-For-Profit","2017","453543881","31586555","446025100","421957326","34890017","8107434","26794496","458482663","350160489","105250277","299758150","158182777","50402339","56770154","456847343","56773409","14341486","57338937",""
"Antelope Valley Healthcare District (CA)","Lancaster","CA","West","Not-For-Profit","2016","409729195","2339310","409093539","407389885","6712708","6729552","20577461","401774243","323979349","73663722","278624702","147064000","45354647","56510329","414102593","18653687","15068425","28510685",""
"Antelope Valley Healthcare District (CA)","Lancaster","CA","West","Not-For-Profit","2015","400512860","6914860","394261397","393598000","8037290","5798209","24611894","373685088","302360676","71324412","250948708","126101733","51411968","51119906","401635290","12418769","14503489","28338988",""
"Antelope Valley Healthcare District (CA)","Lancaster","CA","West","Not-For-Profit","2015","400503260","6914860","394251797","393588400","8037290","5798209","24611894","373685088","302360676","71324412","250948708","125803052","51411968","51006186","401625690","12418769","14503489","22540779",""
"Antelope Valley Healthcare District (CA)","Lancaster","CA","West","Not-For-Profit","2014","359819361","339336","349333378","359480025","469457","5351567","29471370","370975770","254932795","116042975","200512098","121046450","54420697","51858314","359949482","16024362","12521233","12990690",""
"Antelope Valley Healthcare District (CA)","Lancaster","CA","West","Not-For-Profit","2013","354261336","3957708","350481189","350303628","4521494","5123919","34794160","367952013","252248374","115703639","198421909","127103553","53826465","48953512","354825122","","","",""
"Antelope Valley Healthcare District (CA)","Lancaster","CA","West","Not-For-Profit","2012","350212135","3610609","345341111","346601526","3405458","5236199","31907201","366206329","252047525","114158804","199234587","107145349","52812938","39127540","350006984","","","",""
"Antelope Valley Healthcare District (CA)","Lancaster","CA","West","Not-For-Profit","2011","361141748","20884362","353958572","340257386","24649222","5209448","42747677","355109110","245716020","109393090","197054541","114309255","48661479","38897201","364906608","","","",""
"Appalachian Regional Healthcare, Inc. (KY)","Lexington","KY","South","Not-For-Profit","2014","556457490","26878020","516362569","529579470","18145662","3380969","61956044","542363229","441462752","100900477","234558399","210130702","206904353","62444135","547725132","","","",""
"Appalachian Regional Healthcare, Inc. (KY)","Lexington","KY","South","Not-For-Profit","2013","549056387","14691124","516386479","534365263","14495426","4425660","74137531","498557711","424925462","73632249","233630815","219973138","191294647","69647154","548860689","","","",""
