"Year","AHA.ID","Medicare.Provider.ID","Hospital.Name","Address.1.(physical)","City.Name.(physical)","State.(physical)","Zip.code.(physical)","Beginning.of.reporting.period","Days.open.during.reporting.period","End.of.reporting.period","Open.12.full.months.before.end.of.reporting.period","System.member","System.ID","System.Name","System.City","System.State","System.Zip","Total.hospital.beds","Admissions","Inpatient.Days","Surgical.operations.(inpatient)","Emergency.room.visits","Other.outpatient.visits.(non.ER)","Surgical.operations.(outpatient)","Total.outpatient.visits","Total.Medicaid.days","Total.Medicaid.discharges","Total.Medicare.days","Total.Medicare.discharges","Paid.on.capitated.basis","Paid.on.shared.risk.basis","Physicians.and.dentists.(FT)","Total.personnel.(FT)","Total.(NE)","Total.(TE)","Total.(TG)","Total.(TC)","Total.(TP)"
"2011","6040230","400003","Dr. Pila's Hospital","Avenida Las Americas","Ponce","Puerto Rico","00731","",0,"","","","","","","","",115,6025,36258,986,12179,48596,2320,60775,7741,1048,17758,2884,"","",10,482,"","","","",""
"2011","6040240","400028","Hospital Oncologico Andres Grillasca","Centro Medico De Ponce","Ponce","Puerto Rico","00733","",0,"","","","","","","","",49,1268,9516,323,2307,9692,1452,11999,1398,208,5579,674,"","",5,153,"","","","",""
"2011","6040250","400022","Hospital De Damas","Ponce by Pass","Ponce","Puerto Rico","00731","1/1/2011",365,"12/31/2011","Y","","","","","","",251,12693,64441,6165,39952,5549,5549,45501,23294,6040,27366,4302,"","",0,814,"","","","","357"
"2011","6040260","400044","St. Luke's Episcopal Hospital","917 Tito Castro Avenue","Ponce","Puerto Rico","00731-4717","1/1/2011",365,"12/31/2011","Y","","","","","","",385,16137,96080,5652,45950,35859,3,81809,953,137,51207,7379,"0","0",0,1117,"","","","",""
"2011","6040290","400103","Dr. Ramon E. Betances Hospital-Mayaguez Medical Center Branch","410 Hostos Avenue","Mayaguez","Puerto Rico","00680-1501","1/1/2011",365,"12/31/2011","Y","","","","","","",181,7380,51323,2713,27816,38021,1085,65837,14127,2067,27757,3517,"0","0",17,700,"119","17","6","1","143"
"2011","6040294","400105","Hospital Universitario Dr. Ramon Ruiz Arnau","Avenue Laurel, Santa Juanita","Bayamon","Puerto Rico","00956","7/1/2010",365,"6/30/2011","Y","Y","5990011","Puerto Rico Department of Health","San Juan","PR","00936",102,2545,16560,1399,27611,30878,837,58489,8195,1377,2158,369,"","",12,453,"73","5","26","0","104"
"2011","6040300","404006","State Psychiatric Hospital","Monacillos Avenue","San Juan","Puerto Rico","00936","",0,"","","","","","","","",153,566,50602,0,0,8030,0,8030,0,0,0,0,"","",8,372,"","","","",""
"2011","6040325","400118","Doctors Center","KM 47-7","Manati","Puerto Rico","00674","",0,"","","","","","","","",150,10246,45556,1913,28031,43904,3858,71935,8617,2141,23335,4608,"","",4,529,"","","","",""
"2011","6040345","400021","Hospital De La Concepcion","Carr 2, Km 173, Bo Cain Alto","San German","Puerto Rico","00683-3920","",0,"","","","","","","","",167,8705,49412,1561,6722,26822,3669,33544,10549,1515,24200,4167,"","",14,665,"","","","",""
"2011","6040370","400001","Ashford Presbyterian Community Hospital","1451 Avenue Ashford","San Juan","Puerto Rico","00907-1511","",0,"","","","","","","","",199,11124,62124,1744,14008,55896,4102,69904,13263,1936,30426,5325,"","",19,876,"","","","",""
"2011","6040377","400015","San Juan City Hospital","Puerto Rico Medical Center","San Juan","Puerto Rico","00928","",0,"","","","","","","","",267,11429,90065,3565,23894,84360,5634,108254,24650,2535,39306,4836,"","",31,1036,"","","","",""
"2011","6040395","400121","Hospital San Gerardo","138 Avenue Winston Churchill","San Juan","Puerto Rico","00926-6013","",0,"","","","","","","","",60,355,15673,22,0,9958,80,9958,5919,94,4644,177,"","",1,147,"","","","",""
"2011","6040400","","Veterans Affairs Medical Center","10 Casia Street","San Juan","Puerto Rico","00921-3201","",0,"","","Y","5999295","Department of Veterans Affairs","Washington","DC","20420",330,5356,91245,244,14071,422615,1703,436686,0,0,0,0,"","",92,1956,"","","","",""
"2011","6040405","404005","San Juan Capestrano Hospital","Rural Route 2, Box 11","San Juan","Puerto Rico","00926","1/1/2011",365,"12/31/2011","Y","","","","","","",108,4750,32620,0,0,46386,0,46386,1627,280,12529,1677,"0","0",4,239,"","","","",""
"2011","6040420","400006","Doctors' Center Hospital San Juan","1395 San Rafael Street","San Juan","Puerto Rico","00909-2518","1/1/2011",365,"12/31/2011","Y","","","","","","",125,5295,29438,268,15346,1105,1105,16451,12080,2363,2296,321,"","",0,323,"152","0","0","0","152"
"2011","6040425","400112","Hospital de la Universidad de Puerto Rico/Dr. Federico Trilla","65th Infanteria, KM 8 3","Carolina","Puerto Rico","00984","7/1/2010",365,"6/30/2011","Y","","","","","","",250,10337,60761,1563,56792,1525,1525,58317,193,58,16193,2825,"","",0,515,"","","","","184"
"2011","6040432","400128","Hospital Pavia-Hato Rey","435 Ponce De Leon Avenue","San Juan","Puerto Rico","00917-3428","",0,"","","Y","5999605","United Medical Corporation","Windermere","FL","34786-3548",180,10376,56849,1978,13989,21910,3988,35899,10753,2169,29120,4666,"","",4,562,"","","","",""
"2011","6040435","400019","Hospital Pavia-Santurce","1462 Asia Street","San Juan","Puerto Rico","00909-2143","",0,"","","Y","5999605","United Medical Corporation","Windermere","FL","34786-3548",215,9980,65544,2870,18614,26829,4193,45443,14010,2257,31719,4237,"","",4,747,"","","","",""
"2011","6040444","","San Jorge Children's Hospital","252 San Jorge Street, Santurce","San Juan","Puerto Rico","00912-3310","",0,"","","Y","5999605","United Medical Corporation","Windermere","FL","34786-3548",125,7634,38408,1925,22886,35847,3882,58733,7265,1595,19674,3433,"","",3,452,"","","","",""
"2011","6040445","400012","I. Gonzalez Martinez Oncologic Hospital","Puerto Rico Medical Center","Hato Rey","Puerto Rico","00935","",0,"","","","","","","","",52,1400,8066,680,3929,15864,2146,19793,2144,246,3502,688,"","",5,235,"","","","",""
"2011","6040448","","Industrial Hospital","Puerto Rico Medical Center","San Juan","Puerto Rico","00936","7/1/2010",365,"6/30/2011","Y","","","","","","",108,2308,20737,1015,7378,32742,1278,40120,7400,571,7141,960,"","",14,542,"","","","",""
"2011","6040475","404004","First Hospital Panamericano","State Road 787 KM 1 5","Cidra","Puerto Rico","00739","",0,"","","Y","5999555","Universal Health Services, Inc.","King of Prussia","PA","19406-0958",153,4105,41453,11,0,47813,76,47813,12151,1062,10022,934,"","",6,338,"","","","",""
"2011","6040500","403301","University Pediatric Hospital","Barrio Monacenno, Carretera 22","Rio Piedras","Puerto Rico","00935","",0,"","","Y","5990011","Puerto Rico Department of Health","San Juan","PR","00936",145,4533,40915,1615,23719,73047,3648,96766,14600,1121,14089,1886,"","",15,553,"","","","",""
"2011","6050010","480001","Schneider Regional Medical Center","9048 Sugar Estate, Charlotte Amalie","Saint Thomas","Virgin Islands","00802","",0,"","","","","","","","",123,4293,27463,1057,22323,68748,2389,91071,9800,1062,9457,1786,"","",14,534,"","","","",""
"2011","6050015","480002","Governor Juan F. Louis Hospital","4007 Estate Diamond Ruby","Christiansted","Virgin Islands","00820-4421","10/1/2010",365,"9/30/2011","Y","","","","","","",108,3810,23970,1161,23570,27113,1296,50683,3729,873,10755,1104,"0","0",41,635,"","","","","21"
"2011","6060015","650001","Guam Memorial Hospital Authority","850 Governor Carlos G Camacho Road","Tamuning","Guam","96913","",0,"","","","","","","","",104,3630,23220,894,18875,58128,2020,77003,8286,898,7996,1510,"","",12,452,"","","","",""
"2011","6060020","","U. S. Naval Hospital","","Agana","Guam","96910","",0,"","","Y","5999655","Bureau of Medicine and Surgery, Department of the Navy","Washington","DC","20372-5300",55,2767,8479,374,21662,314689,1684,336351,0,0,0,0,"","",97,1006,"","","","",""
"2011","6070010","640001","Lyndon B. Johnson Tropical Medical Center","Faga'alu Village","Pago Pago","American Samoa","96799","",0,"","","","","","","","",125,4363,27909,1075,22687,69865,2427,92552,9959,1079,9611,1815,"","",14,543,"","","","",""
"2011","6080001","660001","Commonwealth Health Center","Navy Hill Road","Saipan","Northern Mariana Islands","96950","",0,"","","","","","","","",86,2553,17460,603,11620,19391,1527,31011,1504,374,11898,1380,"","",2,264,"","","","",""
"2011","6110002","204006","Acadia Hospital","268 Stillwater Avenue","Bangor","ME","04401-3945","9/25/2010",365,"9/24/2011","Y","Y","5990555","Eastern Maine Healthcare Systems","Brewer","ME","04412",72,1691,21578,0,3797,90822,0,94619,7771,522,4312,346,"0","0",13,397,"0","1","0","0","1"
"2011","6110003","200021","Mid Coast Hospital","123 Medical Center Drive","Brunswick","ME","04011","10/1/2010",365,"9/30/2011","Y","","","","","","",92,4791,20366,1252,23934,144470,5483,168404,3455,891,10040,2065,"0","0",10,470,"","","","",""
"2011","6110008","200008","Mercy Hospital of Portland","144 State Street","Portland","ME","04101-3795","1/1/2011",365,"12/31/2011","Y","Y","5990136","Catholic Health East","Newtown Square","PA","19073",168,7714,29390,2115,28124,313387,7044,341511,4966,1476,15145,3062,"0","0",71,588,"","","","","571"
"2011","6110020","204007","Riverview Psychiatric Center","250 Arsenal Street, 11 State House Station","Augusta","ME","04330","7/1/2010",365,"6/30/2011","Y","","","","","","",92,295,29107,0,0,7197,0,7197,0,0,0,0,"0","0",8,284,"0","2","10","0","12"
"2011","6110040","204004","Dorothea Dix Psychiatric Center","656 State Street","Bangor","ME","04401","7/1/2010",365,"6/30/2011","Y","","","","","","",51,308,20075,0,0,2200,0,2200,0,0,0,0,"","",5,244,"","","","",""
"2011","6110050","200033","Eastern Maine Medical Center","489 State Street","Bangor","ME","04401-6674","9/26/2010",364,"9/24/2011","Y","Y","5990555","Eastern Maine Healthcare Systems","Brewer","ME","04412",349,19302,98727,6401,40223,372533,11674,412756,14061,3301,53536,9685,"0","0",204,2803,"76","276","71","0","423"
"2011","6110070","200001","St. Joseph Hospital","360 Broadway","Bangor","ME","04401-3897","1/1/2011",365,"12/31/2011","Y","Y","5995885","Covenant Health Systems, Inc.","Tewksbury","MA","01876-1293",84,5858,20066,1339,25527,77575,7715,103102,1924,407,12542,2554,"0","0",5,593,"","","","",""
"2011","6110090","201304","Mount Desert Island Hospital","10 Wayman Lane","Bar Harbor","ME","04609-0008","5/1/2010",365,"4/30/2011","Y","","","","","","",25,1010,3715,259,7081,164867,1414,171948,468,172,3247,539,"0","13",10,294,"16","19","65","8","108"
"2011","6110120","201312","Waldo County General Hospital","118 Northport Avenue","Belfast","ME","04915-6072","10/1/2010",365,"9/30/2011","Y","Y","5990614","MaineHealth","Portland","ME","04101-3537",25,1625,6004,480,15912,109751,3079,125663,623,233,3466,874,"0","0",30,433,"14","53","57","1","125"
"2011","6110140","200019","Southern Maine Medical Center","One Medical Center Drive","Biddeford","ME","04005-9496","10/1/2010",365,"9/30/2011","Y","Y","5990614","MaineHealth","Portland","ME","04101-3537",110,5888,24684,1761,41949,235686,12639,277635,4088,1132,13475,2876,"0","0",55,898,"73","95","74","0","242"
"2011","6110150","201300","Blue Hill Memorial Hospital","57 Water Street","Blue Hill","ME","04614-0823","",0,"","","Y","5990555","Eastern Maine Healthcare Systems","Brewer","ME","04412",25,874,3312,266,23526,98816,1194,122342,487,143,1942,465,"","",6,200,"","","","",""
"2011","6110160","201302","St. Andrews Hospital and Healthcare Center","6 St Andrews Lane","Boothbay Harbor","ME","04538-1732","10/1/2010",365,"9/30/2011","Y","Y","5990614","MaineHealth","Portland","ME","04101-3537",73,356,22931,1,4633,19902,303,24535,8136,21,3417,264,"0","0",0,107,"0","0","7","0","7"
"2011","6110167","201310","Bridgton Hospital","10 Hospital Drive","Bridgton","ME","04009","7/1/2010",365,"6/30/2011","Y","","","","","","",22,1204,4557,149,12646,91315,1535,103961,1091,158,3123,636,"0","0",12,140,"13","22","38","0","73"
"2011","6110173","200025","Parkview Adventist Medical Center","329 Maine Street","Brunswick","ME","04011-3398","1/1/2011",365,"12/31/2011","Y","","","","","","",55,1037,4044,350,10185,56313,2046,66498,198,63,3196,749,"0","0",5,152,"60","9","86","3","158"
"2011","6110180","201305","Calais Regional Hospital","24 Hospital Lane","Calais","ME","04619-1398","1/1/2011",365,"12/31/2011","Y","Y","5990002","QHR","Brentwood","TN","37027",25,985,2759,139,10989,23491,891,34480,458,176,1791,627,"","",8,210,"2","17","105","0","124"
"2011","6110200","200031","Cary Medical Center","163 Van Buren Road, Suite 1","Caribou","ME","04736-2599","1/1/2011",365,"12/31/2011","Y","Y","5990002","QHR","Brentwood","TN","37027",49,1726,10768,310,19720,60932,2166,80652,4300,372,4991,1097,"0","0",5,284,"121","7","0","0","128"
"2011","6110220","200002","Miles Memorial Hospital","35 Miles Street","Damariscotta","ME","04543-9767","10/1/2010",365,"9/30/2011","Y","Y","5990614","MaineHealth","Portland","ME","04101-3537",38,1646,6717,474,12213,74262,1720,86475,668,242,4665,1022,"0","0",0,253,"0","48","0","0","48"
"2011","6110240","201309","Mayo Regional Hospital","897 West Main Street","Dover-Foxcroft","ME","04426-1099","10/1/2010",365,"9/30/2011","Y","","","","","","",25,1117,4143,211,12336,95793,1701,108129,718,322,2640,625,"0","0",21,364,"3","22","44","7","76"
"2011","6110260","200050","Maine Coast Memorial Hospital","50 Union Street","Ellsworth","ME","04605-1599","7/1/2010",365,"6/30/2011","Y","","","","","","",48,3010,10118,875,18405,85722,3308,104127,1792,670,6437,1741,"0","0",31,549,"26","49","35","3","113"
"2011","6110280","200037","Franklin Memorial Hospital","111 Franklin Health Commons","Farmington","ME","04938-9990","7/1/2010",365,"6/30/2011","Y","","","","","","",43,2854,9276,482,18539,116419,1882,134958,1989,700,5686,1357,"0","0",41,537,"20","47","147","25","239"
"2011","6110290","200052","Northern Maine Medical Center","194 East Main Street","Fort Kent","ME","04743-1497","10/1/2010",365,"9/30/2011","Y","","","","","","",81,1642,23212,147,7168,43336,708,50504,14680,397,3389,380,"0","0",17,309,"0","20","0","3","23"
"2011","6110310","201301","Charles A. Dean Memorial Hospital","364 Pritham Avenue","Greenville","ME","04441-1395","",0,"","","Y","5990555","Eastern Maine Healthcare Systems","Brewer","ME","04412",36,471,3842,194,6407,26913,871,33320,564,77,2252,250,"","",3,101,"","","","",""
"2011","6110330","201308","Houlton Regional Hospital","20 Hartford Street","Houlton","ME","04730-9998","10/1/2010",365,"9/30/2011","Y","","","","","","",51,1503,11830,103,12464,82976,534,95440,4438,276,5965,904,"","",11,326,"3","22","8","8","41"
"2011","6110370","200024","Central Maine Medical Center","300 Main Street","Lewiston","ME","04240-0305","7/1/2010",365,"6/30/2011","Y","","","","","","",190,9854,41933,2095,46743,722164,3983,768907,7715,2036,19847,4629,"0","2",162,1504,"7","244","74","0","325"
"2011","6110380","200034","St. Mary's Regional Medical Center","330 Sabattus Street","Lewiston","ME","04240","1/1/2011",365,"12/31/2011","Y","Y","5995885","Covenant Health Systems, Inc.","Tewksbury","MA","01876-1293",171,6507,32447,1295,33905,323761,3225,357666,11379,2359,13578,2578,"0","0",0,1359,"171","73","0","6","250"
"2011","6110386","201311","Down East Community Hospital","11 Hospital Drive","Machias","ME","04654-3325","1/1/2011",365,"12/31/2011","Y","","","","","","",53,942,11699,181,9467,23168,1950,32635,6155,217,3648,520,"0","0",12,193,"","","","",""
"2011","6110387","201307","Millinocket Regional Hospital","200 Somerset Street","Millinocket","ME","04462-1298","7/1/2010",365,"6/30/2011","Y","","","","","","",25,989,3826,211,7136,27077,1261,34213,322,93,2750,652,"","",8,161,"0","7","0","6","13"
"2011","6110390","201315","Stephens Memorial Hospital","181 Main Street","Norway","ME","04268-1297","10/1/2010",365,"9/30/2011","Y","Y","5990614","MaineHealth","Portland","ME","04101-3537",25,1715,5535,627,20007,85060,3006,105067,983,284,3715,1016,"0","0",5,246,"10","23","0","0","33"
"2011","6110395","201303","Penobscot Valley Hospital","7 Transalpine Road","Lincoln","ME","04457-0368","1/1/2011",365,"12/31/2011","Y","Y","5990002","QHR","Brentwood","TN","37027",25,979,3106,168,7987,30517,670,38504,481,181,2040,601,"0","0",4,138,"14","5","27","2","48"
"2011","6110410","201313","Sebasticook Valley Health","447 North Main Street","Pittsfield","ME","04967-1199","10/1/2010",365,"9/30/2011","Y","Y","5990555","Eastern Maine Healthcare Systems","Brewer","ME","04412",25,912,4524,91,15680,87861,954,103541,347,107,3589,648,"0","1",9,237,"60","19","31","4","114"
"2011","6110430","200009","Maine Medical Center","22 Bramhall Street","Portland","ME","04102-3175","10/1/2010",365,"9/30/2011","Y","Y","5990614","MaineHealth","Portland","ME","04101-3537",637,28451,152192,12461,88150,263329,15287,351479,36677,4956,63099,12438,"0","6",214,4509,"","","","","987"
"2011","6110435","203025","New England Rehabilitation Hospital of Portland","335 Brighton Avenue","Portland","ME","04102-9735","1/1/2011",365,"12/31/2011","Y","Y","5990023","HEALTHSOUTH Corporation","Birmingham","AL","35243",90,1917,26251,0,0,15003,0,15003,1655,99,17779,1320,"0","0",0,158,"","","","",""
"2011","6110480","200018","Aroostook Medical Center","140 Academy Street","Presque Isle","ME","04769-3171","9/26/2010",365,"9/24/2011","Y","Y","5990555","Eastern Maine Healthcare Systems","Brewer","ME","04412",122,2229,30928,429,14366,161714,2244,176080,19287,325,7794,1321,"0","0",42,845,"28","59","65","16","168"
"2011","6110505","200063","Pen Bay Medical Center","6 Glen Cove Drive","Rockport","ME","04856-4240","4/1/2010",365,"3/31/2011","Y","Y","5990614","MaineHealth","Portland","ME","04101-3537",165,4443,48061,794,22519,325993,2444,348512,21557,664,15962,2461,"0","0",9,528,"11","60","10","0","81"
"2011","6110510","201306","Rumford Hospital","420 Franklin Street","Rumford","ME","04276-2145","7/1/2010",365,"6/30/2011","Y","","","","","","",21,1171,5464,144,11373,70492,1289,81865,951,243,3740,489,"0","0",0,234,"0","109","0","0","109"
"2011","6110520","200040","Henrietta D. Goodall Hospital","25 June Street","Sanford","ME","04073-2645","6/1/2010",365,"5/31/2011","Y","","","","","","",157,2142,46659,366,21684,179710,2219,201394,28826,420,5246,1329,"0","0",28,537,"41","31","54","24","150"
"2011","6110523","201314","Redington-Fairview General Hospital","Fairview Avenue","Skowhegan","ME","04976","7/1/2010",365,"6/30/2011","Y","","","","","","",25,1616,8135,260,26391,52550,1643,78941,790,180,3251,923,"0","0",22,362,"4","29","9","1","43"
"2011","6110540","","Veterans Affairs Medical Center","1 VA Center","Togus","ME","04330","10/1/2010",365,"9/30/2011","Y","Y","5999295","Department of Veterans Affairs","Washington","DC","20420",175,2378,38603,387,13118,315565,3997,328683,0,0,0,0,"100","0",88,1235,"0","98","0","0","98"
