"a_Name","Year","Total_Revenue","NPR","HMA_System_Name","HMA_Member"
"Campbell County Hospital District (WY)","2011",129981613,104454259,NA,NA
"Cape Cod Healthcare, Inc. (MA)","2011",638699409,615896040,NA,NA
"Cape Fear Valley Health Systems (dba Cumberland County Hospital System) (NC)","2011",662631000,665655000,NA,NA
"Capella Healthcare (TN)","2011",630900000,651400000,NA,NA
"Capital Region Medical Center (MO)","2011",160070857,157946372,NA,NA
"Care New England System (RI)","2011",796942674,723115004,NA,NA
"CareGroup (MA)","2011",2389375000,2002302000,NA,NA
"Carilion Clinic (VA)","2011",1134676000,1123630000,"Carilion Clinic","Y"
"Carolinas HealthCare System (NC)","2011",3689923000,3258741000,"Atrium Health","Y"
"Caromont Health (NC)","2011",539138324,464219933,NA,NA
"Carroll Hospital Center (MD)","2011",266499000,224980000,NA,NA
"Catholic Health Initiatives (CO)","2011",9651596000,7625634000,"Catholic Health Initiatives","N"
"Catholic Health Services of Long Island (NY)","2011",1986985000,1855930000,NA,NA
"Catholic Health System (NY)","2011",825503000,805820000,NA,NA
"Cedars-Sinai Medical Center (CA)","2011",2592124000,2217189000,"Cedars-Sinai","Y"
"Centegra Health System (IL)","2011",423516000,409962000,NA,NA
"Central Florida Health Alliance","2011",393790000,359490000,NA,NA
"Central Washington Hospital & Clinics","2011",185352827,178190458,NA,NA
"CentraState Healthcare System (NJ)","2011",268876000,226551000,NA,NA
"Charleston Area Medical Center Health System, Inc. (WV)","2011",847473000,809592000,NA,NA
"Children's Health Services of Texas dba Children's Medical Center of Dallas","2011",983133000,953635000,NA,NA
"Children's Healthcare of Atlanta (GA)","2011",942183000,956816000,NA,NA
"Children's Healthcare of California","2011",542648000,433898000,NA,NA
"Children's Hospital and Clinics of Minnesota","2011",572768000,549698000,NA,NA
"Children's Hospital And Health System (WI)","2011",724462000,570049000,NA,NA
"Children's Hospital Colorado Health System","2011",624625000,605895000,NA,NA
"Children's Hospital Los Angeles (CA)","2011",802095000,570312000,NA,NA
"Children's Hospital of Alabama","2011",543489846,521286224,NA,NA
"Children's Hospital of Omaha (NE)","2011",243069000,239774000,NA,NA
"Children's Mercy Hospital (MO)","2011",1163578000,663274000,NA,NA
"Children’s Hospital of Chicago Medical Center and Affiliated Corporations dba Ann & Robert Lurie Children's Hospital of Chicago (IL)","2011",762691882,564349456,NA,NA
"Children’s National Medical Center (DC)","2011",890531000,745810000,NA,NA
"Christ Hospital Health Network (The) (OH)","2011",627927000,601956000,NA,NA
"Christiana Care Health Services (DE)","2011",1443470304,1236022328,"Christiana Care Health System","Y"
"CHRISTUS Health (TX)","2011",3877303000,3237980000,"CHRISTUS Health","N"
"Cincinnati Children's Hospital Medical Center (OH)","2011",1693408000,1144142000,NA,NA
"City of Hope (CA)","2011",958236000,602884000,NA,NA
"Cleveland Clinic Health System (OH)","2011",5273050000,5212524000,"Cleveland Clinic","Y"
"CMC (Catholic Medical Center ) Healthcare System (NH)","2011",311216463,281406263,NA,NA
"Columbus Regional Healthcare System (GA)","2011",455580911,434688423,NA,NA
"Columbus Regional Hospital (IN)","2011",193308748,191744749,NA,NA
"Comanche County Memorial Hospital (OK)","2011",201010215,199959884,NA,NA
"Community Health Network (IN)","2011",1376979000,1260198000,NA,NA
"Community Health Systems (TN)","2011",11049350000,11906212000,NA,NA
"Community Hospital Foundation (CA)","2011",432366000,391699000,NA,NA
"Community Memorial Health System (CA)","2011",298790608,282599300,NA,NA
"Cone Health aka Moses H. Cone Health (NC)","2011",902074000,885148000,"Cone Health","Y"
"Conemaugh Health System (PA)","2011",524529000,471968000,NA,NA
"Conway Hospital (SC)","2011",154422824,147151562,NA,NA
"Cook Children's Health Care System (TX)","2011",1016361000,743442000,NA,NA
"Cook County Health and Hospitals System (IL)","2011",873106594,534604567,NA,NA
"Cooper Health System (NJ)","2011",781055000,719620000,NA,NA
"Cottage Health System (CA)","2011",566074654,568361361,NA,NA
"Covenant Health Systems, Inc (MI)","2011",500723000,464585000,NA,NA
"CoxHealth (MO)","2011",1059579931,847690296,"CoxHealth","Y"
"Crittenton Hospital Medical Center and Subsidiaries (MI)","2011",235623402,228511840,NA,NA
"Crozer-Keystone Health System (PA)","2011",814032000,757783000,NA,NA
"Dana Farber Cancer Center (MA)","2011",952333000,540815000,NA,NA
"Dartmouth-Hitchcock (NH)","2011",159634559,156876536,"Dartmouth-Hitchcock Medical Center","Y"
"DCH Health Authority aka DCH Health System (AL)","2011",443597797,423850779,NA,NA
"Deaconess Health System (IN)","2011",622183609,587721153,NA,NA
"Decatur Hospital Authority dba Wise Regional Health System (TX)","2011",118839357,121001914,NA,NA
"Dekalb Regional Health System (GA)","2011",406655000,377866000,NA,NA
"Delta Regional Medical Center (MS)","2011",127903127,125907358,NA,NA
"Dignity Health (CA)","2011",11000507000,8520936000,"Dignity Health","Y"
"Dimensions Healthcare System (MD)","2011",353829000,313608000,NA,NA
"Doctors Community Hospital (MD)","2011",211298216,192239108,NA,NA
"Douglas County Hospital (MN)","2011",84489452,82756899,NA,NA
"East Alabama Medical Center","2011",262046761,251677898,NA,NA
"East Jefferson General Hospital (LA)","2011",369783043,341978230,NA,NA
"East Texas Medical Center Regional Healthcare System","2011",887705000,735408000,NA,NA
"Eastern Connecticut Health Network","2011",268542109,250242396,NA,NA
"Eastern Maine Healthcare Systems","2011",929169000,867122000,NA,NA
"Ector County Hospital District (TX)","2011",248144082,187725631,NA,NA
"Edward-Elmhurst Healthcare (IL)","2011",608381000,512315000,NA,NA
"Eisenhower Medical Center (CA)","2011",437227000,373956000,NA,NA
"El Camino Healthcare District (CA)","2011",660375000,603625000,NA,NA
"Elliot Health System (NH)","2011",406632976,368359439,"Elliot Health System","Y"
"Ellis Hospital (NY)","2011",344218265,332011665,NA,NA
"Encompass Health Corporation (formerly known as) HealthSouth Corporation (AL)","2011",1911200000,2005900000,NA,NA
"Erlanger Health System (TN)","2011",526714322,512916915,NA,NA
"Essentia Health (MN)","2011",1598075000,1482642000,NA,NA
"Evangelical Community Hospital (PA)","2011",144057520,128525480,NA,NA
"Excela Health (PA)","2011",510805000,458339000,NA,NA
"Fairview Health Services (MN)","2011",2914627000,2599063000,"Fairview Health Services","Y"
"Faith Regional Health Services (NE)","2011",145018554,134784057,NA,NA
"FirstHealth of the Carolinas (NC)","2011",519025000,405522000,NA,NA
"Florida Health Science Center","2011",1030991765,957770559,NA,NA
"Floyd Regional Medical Center (GA)","2011",304096390,300296329,NA,NA
"Forrest General Hospital (MS)","2011",424522163,413507233,NA,NA
"Forrest S. Chilton (NJ)","2011",159996374,153438400,NA,NA
"Franciscan Alliance (IN) d/b/a Sisters of St. Francis","2011",2323613000,2106992000,NA,NA
"Franciscan Missionaries of Our Lady Health System, Inc. (LA)","2011",1476692000,1254684000,NA,NA
"Franciscan Sisters of Christian Charity Sponsored Ministries, Inc. (WI)","2011",178961106,165531811,NA,NA
"Frederick Regional Health System Inc. (MD)","2011",365359000,327783000,NA,NA
"Freeman Health System (MO)","2011",464911424,444304445,NA,NA
"Fremont Rideout Health Group (CA)","2011",327023000,303023000,NA,NA
"Froedtert Health (WI)","2011",1467797000,1231362000,NA,NA
"GBMC HealthCare (Parent Co. of Greater Baltimore Medical Center) (MD)","2011",501575000,417172000,NA,NA
"Geisinger Health System (PA)","2011",2804826000,1308631000,"Geisinger Health System","Y"
"Genesis Health, Inc. dba Brooks Rehabilitation (FL)","2011",98489838,97628850,NA,NA
"Gerald Champion Regional Medical Center (NM)","2011",101791916,94926722,NA,NA
"Gillette Children's Specialty Healthcare (MN)","2011",167270115,158800117,NA,NA
"Good Samaritan Hospital (The) (PA)","2011",160964000,161238000,NA,NA
"Good Shepherd Rehabilitation System (PA)","2011",135440625,106216843,NA,NA
"Grady Health System (GA)","2011",8448870,8078280.70721046,NA,NA
"Great Hudson Valley Health System (NY)","2011",145776661,136258799,NA,NA
"Great Plains Regional Medical Center (NE)","2011",40355943,38050989,NA,NA
"Greenville Health System (SC)","2011",1416959000,1366369000,NA,NA
"Greenwich Healthcare Services, Inc and Subsidiaries (CT)","2011",310283000,300963000,NA,NA
"Gundersen Lutheran (WI)","2011",851788000,563677000,NA,NA
"Guthrie Healthcare System (PA)","2011",602885000,532721000,NA,NA
"Gwinnett Hospital System, Inc. (GA)","2011",508547000,472731000,NA,NA
"H. Lee Moffit Cancer Care Center (FL)","2011",741434586,593656513,NA,NA
"Hackensack University Health Network (NJ)","2011",1252696000,1104569000,"Hackensack University Medical Center","N"
"Halifax Health (FL)","2011",457183000,419999000,NA,NA
"Hampton Regional Medical Center (SC)","2011",20968739,20655247,NA,NA
"Hanover Healthcare Plus (PA)","2011",139786000,132737000,NA,NA
"Hartford HealthCare Corporation (CT)","2011",1986589000,1580568000,NA,NA
"Hawaii Health Systems Corporation","2011",570770839,479377019,NA,NA
"Hawaii Pacific Health","2011",874107397,806089695,"Hawai'i Pacific Health","Y"
"HCA (TN)","2011",2.8963e+10,2.9682e+10,"HCA Healthcare","Y"
"Health Care Authority for Baptist Health, Inc. (AL)","2011",506505000,488973000,NA,NA
"Health First, Inc. (FL)","2011",938090000,525558000,"Health First","Y"
"Health Quest Systems, Inc. (NY)","2011",667747000,655149000,NA,NA
"HealthEast Care System (MN)","2011",868379000,836644000,NA,NA
"Henry Ford Health System (MI)","2011",3970163000,1967854000,"Henry Ford Health System","Y"
"Henry Mayo Newhall Memorial Hospital (CA)","2011",212939176,206578426,NA,NA
"Heritage Valley Health System (NY)","2011",457771000,408475000,NA,NA
"High Point Regional Health System (NC)","2011",266413981,249647620,NA,NA
"Highland Hospital of Rochester (NY)","2011",284158492,261036137,NA,NA
"Holland Hospital (MI)","2011",185469890,160458542,NA,NA
"Holy Redeemer Health System (PA)","2011",372763000,332167000,NA,NA
"Holzer Health System (OH)","2011",165177396,159377440,NA,NA
"Hospital Service District No1 of the Parish of Tangipahoa dba North Oaks Health System (LA)","2011",257871976,249620219,NA,NA
"Hospital Sisters Health System (IL)","2011",2122887000,1829091000,"Hospital Sisters Health System","Y"
"Hugh Chatham Memorial Hospital (NC)","2011",82532062,79019526,NA,NA
"Hunterdon Healthcare System (NJ)","2011",245976575,230883682,NA,NA
"Hurley Medical Center (MI)","2011",371179405,322294828,NA,NA
"IASIS Healthcare Corporation (TN)","2011",2336395000,1578955000,NA,NA
"Immanuel Health Systems (NE)","2011",98965000,21769000,NA,NA
"Indiana University Health","2011",4353498000,4071039000,"Indiana University Health","Y"
"Infirmary Health System, Inc. (AL)","2011",633621806,598977857,NA,NA
"Ingalls Health System (IL) d/b/a UCN Community Health and Hospital Division","2011",320491000,282468000,NA,NA
"Inova Health System (VA)","2011",2437512000,2330596418.59728,"Inova Health System","Y"
"Inspira Health Network (NJ)","2011",380202000,360399000,NA,NA
"Integrated Healthcare Holdings (CA)","2011",412966000,423063000,NA,NA
"INTEGRIS Health (OK)","2011",1290674000,1172477000,"INTEGRIS Health","Y"
"InterHealth Corp (CA) d/b/a/ PIH Health","2011",559579000,456377000,NA,NA
"Intermountain Health Care, Inc. (UT)","2011",4520500000,3107500000,"Intermountain Healthcare","Y"
"Jackson-Madison County Hospital dba West Tennessee Healthcare","2011",607145307,561402313,NA,NA
"Jackson Hospital & Clinic (AL)","2011",178794786,170967587,NA,NA
"Jefferson Health System (PA)","2011",3.008e+09,2.703e+09,NA,NA
"Jefferson Regional Medical Center","2011",187581677,174912441,NA,NA
"John C. Lincoln Health Network and Affiliates (AZ)","2011",479505422,467243040,NA,NA
"John Muir Health (CA)","2011",1385146000,1203292000,NA,NA
"Johnston Health (NC)","2011",143300190,146258069,NA,NA
"Jupiter Medical Center (FL)","2011",185316213,174948153,NA,NA
"Kaiser Foundation Hospitals (CA)","2011",4.8296e+10,46177612513.3226,"Kaiser Permanente","Y"
"Kaleida Health (NY)","2011",1177465000,1159680000,NA,NA
"Kalispell Regional Medical Center, Inc. (MT)","2011",176946730,163965398,NA,NA
"Kansas University Hospital Authority","2011",881748000,839361000,NA,NA
"Kaweah Delta Healthcare District (CA)","2011",438908864,409106122,NA,NA
"Kershaw Health (SC)","2011",112013020,111961587,NA,NA
"Kindred Healthcare, Inc. (KY)","2011",4240084000,4054102947.98615,NA,NA
"King's Daughters' Health (IN)","2011",93526437,95292803,NA,NA
"Kingsbrook Jewish Medical Center and Rutland Nursing Home, Inc. (NY)","2011",265096000,256345000,NA,NA
"KISH Health System (IL)","2011",209642000,202464000,NA,NA
"Lafayette General Health (LGH) (LA)","2011",249138664,243306590,NA,NA
"Lahey Clinic Foundation, Inc. (MA)","2011",983447000,945498000,NA,NA
"Lake Hospital System (OH)","2011",298201604,309026195,NA,NA
"Lakeland Healthcare (MI)","2011",311090463,314179795,NA,NA
"Lakeland Regional Health Systems Inc. (FL)","2011",537012000,533253000,NA,NA
"Lakewood Health System (MN)","2011",84029419,82034090,NA,NA
"Lancaster General Health (PA)","2011",881315000,816772000,NA,NA
"Lawrence + Memorial Corporation (CT)","2011",326543019,310919216,NA,NA
"Lawrence Memorial Hospital (KS)","2011",165233333,163137144,NA,NA
"Lee Memorial Health System (FL)","2011",1138212000,1158113000,NA,NA
"Legacy Health System (OR)","2011",1288791000,1210278000,"Legacy Health","Y"
"Lexington County Health Services District (SC)","2011",591942001,592812986,NA,NA
"LHC Group (LA)","2011",623333000,595992002.25209,NA,NA
"Liberty Health (NJ)","2011",299715956,273846486,NA,NA
"LifeBridge Health (MD)","2011",968498000,912852000,NA,NA
"LifePoint Hospitals, Inc. (TN)","2011",3026300000,3026100000,NA,NA
"Lifespan (RI)","2011",1580562000,1421435000,"Lifespan","Y"
"Loma Linda University Adventist Health Sciences Center (CA)","2011",1154745000,1134856000,NA,NA
"Lompoc Valley Medical Center (CA)","2011",57087716,53754698,NA,NA
"Lucile Packard Children's Hospital at stanford (CA)","2011",992558000,860997000,NA,NA
"Maimonides Medical Center (NY)","2011",967233000,927676000,NA,NA
"Major Health Partners (IN)","2011",97420529,93259735,NA,NA
"Marshall Health System (AL)","2011",126725280,117175374,NA,NA
"Martin Memorial Medical Center","2011",359799000,344278000,NA,NA
"Mary Washington Healthcare (VA)","2011",589834647,564854279,NA,NA
"Maury Regional Healthcare System (TN)","2011",271044054,265048059,NA,NA
"Mayo Clinic Health System (MN)","2011",8358500000,6.826e+09,"Mayo Clinic","Y"
"MCG Health Systems, Inc. Dba Georgia Regents Health System","2011",483604382,448872489,NA,NA
"McLaren Health Care Corp. (MI)","2011",2044833000,1701284000,"McLaren Health Care","Y"
"McLeod Health (SC)","2011",589832880,592800111,NA,NA
"MedAmerica Health Systems (OH)","2011",881315000,861007000,NA,NA
"MedCentral Health System (OH)","2011",250237279,238286352,NA,NA
"Medical College of Wisconsin (The)","2011",909788000,341317000,NA,NA
"MEDNAX Services, Inc. (FL)","2011",1586104000,1588248000,NA,NA
"MedStar Health (MD)","2011",3955700000,3519800000,"MedStar Health","Y"
"Memorial Group, Inc. (IL)","2011",305675112,294405741,NA,NA
"Memorial Health Services aka MemorialCare Health System (CA)","2011",1733954000,1398973000,"MemorialCare Health System (CA)","Y"
"Memorial Health System (IL)","2011",708782000,622139000,NA,NA
"Memorial Health System of East Texas","2011",179386345,171754444,NA,NA
"Memorial Healthcare System (FL)","2011",1496585000,1395919000,NA,NA
"Memorial Hermann Healthcare System (TX)","2011",3647792000,3001798000,"Memorial Hermann Health System","Y"
"Memorial Hospital at Gulfport (MS)","2011",355663107,345098994,NA,NA
"Memorial Sloan Kettering (NY)","2011",2635150000,2141421000,NA,NA
"Mercy Health (Formerly Known as Catholic Health Partners) (OH)","2011",3461281000,3424729000,"Mercy Health","Y"
"Mercy Health Corporation (Formerly) Mercy Alliance, Inc. and Affiliates) (WI)","2011",490562000,383473000,NA,NA
"Mercy Health Services, Inc. (MD)","2011",552812000,507403000,NA,NA
"Mercy Hospital d/b/a Mercy Medical Center (IA)","2011",261423000,240364000,NA,NA
"Mercy Regional Health Center (KS)","2011",97167000,93218000,NA,NA
"Meridian Health (NJ)","2011",1295584000,1284741000,NA,NA
"Meritus Medical Center (MD)","2011",368888471,340305068,NA,NA
"Methodist Health System (TX)","2011",860290000,960970000,NA,NA
"Methodist Hospitals, Inc. (IN)","2011",292873970,235920393,NA,NA
"Methodist Le Bonheur Healthcare (TN)","2011",1253896000,1247076000,"Methodist Le Bonheur Healthcare","Y"
"Metro Health Corporation (MI)","2011",295136459,279207693,NA,NA
"Metro Health System - Cuyahoga County (OH)","2011",748280000,665917000,NA,NA
"Michigan Medicine","2011",2521708664.91645,2411100000,"Michigan Medicine","Y"
"MidMichigan Health","2011",560285000,511543000,NA,NA
"Mission Health System (NC)","2011",956962000,891961000,NA,NA
"Mississippi Baptist Health System","2011",408223835,404497022,NA,NA
"Monongalia Health System (WV)","2011",229376872,213357015,NA,NA
"Montefiore Health System (NY)","2011",2912248000,2769846000,"Montefiore Health System","Y"
"Mount Nittany (PA)","2011",267872628,253511615,NA,NA
"Mount Sinai (FL)","2011",484948000,457973000,NA,NA
"Mount Sinai Health System (NY)","2011",1714793000,1617432000,NA,NA
"Mountain States Health Alliance (TN)","2011",970743000,945875000,NA,NA
"MultiCare Health System (WA)","2011",1362254000,1314577000,"MultiCare Health System","Y"
"Munroe Regional Health System (FL)","2011",291470049,291008465,NA,NA
"Munson Healthcare (MI)","2011",543191903,498127933,"Munson Healthcare","N"
"Nash Health Care Systems (NC)","2011",211020180,198580366,NA,NA
"Nationwide Children’s Hospital, Inc. and Subsidiaries (OH)","2011",1299144000,770031000,NA,NA
"Navicent Health (formerly Central Georgia Health Systems, Inc.)","2011",728014000,655212000,NA,NA
"NCH Healthcare Systems, inc. (IL)","2011",491514892,466037398,NA,NA
"Nebraska Methodist Health System","2011",638675000,591264000,NA,NA
"Nemours Foundation (The) (FL)","2011",771537354,587057913,NA,NA
"New Hanover Regional Medical Center (NC)","2011",628040000,615078000,NA,NA
"New York-Presbyterian Healthcare System, Inc.","2011",3625875000,3410983000,"NewYork-Presbyterian","Y"
"New York City Health & Hospitals Corporation","2011",6804846000,4805218000,NA,NA
"New York Methodist Hospital","2011",655358000,610385000,NA,NA
"New York Society for the Relief of the Ruptured and Crippled, Maintaining the Hospital for Special Surgery","2011",670420000,575242000,NA,NA
"Newport Hospital (RI)","2011",116812000,108485000,NA,NA
"NewYork- Presbyterian/Queens formerly New York Hospital Medical Center of Queens","2011",654231000,618260000,NA,NA
"Norman Regional Hospital Authority (OK)","2011",284903000,281197000,NA,NA
"North Brevard County Hospital District (FL)","2011",136713657,146433633,NA,NA
"North Memorial Health Care (MN)","2011",687646093,581501010,NA,NA
"North Mississippi Health Services, Inc.","2011",839984000,806332000,NA,NA
"NorthBay Healthcare System (CA)","2011",314069000,265605000,NA,NA
"NorthEast Georgia Health System","2011",627206157,581421185,NA,NA
"Northern Arizona Healthcare Corporation","2011",533957000,492913000,NA,NA
"NorthShore University HealthSystems (IL)","2011",1675757000,1579635000,NA,NA
"Northwell Health, Inc. Formerly North Shore-Long Island Jewish Health System (NY)","2011",6228079000,5927624000,"Northwell Health","Y"
"Northwest Alabama Health","2011",90099286,84480338,NA,NA
"Northwest Community Hospital (IL)","2011",473729195,458546274,NA,NA
"Northwestern Memorial Healthcare (IL)","2011",1879131000,1560400000,"Northwestern Medicine","Y"
"Norton Healthcare, Inc. (KY)","2011",1540400786,1517220366,"Norton Healthcare","Y"
"Novant Health (NC)","2011",3248217000,3129817000,"Novant Health","Y"
"NYU Langone Hospitals (Formerly) NYU Hospital Center","2011",1687223000,1625839000,NA,NA
"NYU Winthrop Hospital (formerly) Winthrop-University Hospital Association (NY)","2011",919490167,732112379,NA,NA
"Ochsner Clinic Foundation (LA)","2011",1807459000,1447079000,"Ochsner Health System","Y"
"Ohio State University Medical Center","2011",1706037000,1658240000,"Ohio State University Medical Center","Y"
"OhioHealth","2011",2441704000,2157149000,"OhioHealth","Y"
"Olmsted Medical Center (MN)","2011",155175715,150606679,NA,NA
"Orange Regional Medical Center (NY)","2011",331940000,323655000,NA,NA
"Orlando Health (FL)","2011",1658157000,1587419000,NA,NA
"OSF Healthcare System (IL)","2011",1763360000,1695545000,NA,NA
"OU Medical System","2011",840954000,323001000,"OU Medical System","Y"
"Overlake Hospital (WA)","2011",413776000,386448000,NA,NA
"Owensboro Health (KY)","2011",436837000,398343000,NA,NA
"Palisades Healthcare System (NJ)","2011",153960000,145843000,NA,NA
"Palmetto Health (SC)","2011",1042886000,978584000,"Palmetto Health","Y"
"Palomar Health (CA)","2011",523565000,442142000,NA,NA
"Parkland Health & Hospitals (Dallas County Hospital District) (TX)","2011",1698012000,468068000,NA,NA
"Parkview Health (IN)","2011",857541000,870289000,NA,NA
"Parkview Health System, Inc. (CO)","2011",264399265,254876406,NA,NA
"Partners Healthcare System, Inc. (MA)","2011",8512083000,6342273000,"Partners HealthCare","Y"
"PeaceHealth (WA)","2011",2380408000,1682607000,NA,NA
"Peninsula Regional Medical Center (MD)","2011",389469000,369314000,NA,NA
"Phoebe Putney Health System, Inc. (GA)","2011",698548471,570132976,NA,NA
"Phoenix Children's Hospital aka Children's Healthcare of AZ","2011",433166000,477359000,NA,NA
"Piedmont Hospital (GA)","2011",1309151000,1185508000,"Piedmont Healthcare","Y"
"Pinnacle Health System (PA)","2011",683237000,631366000,NA,NA
"Pocono Health System (PA)","2011",254513757,244262468,NA,NA
"Pomona Valley Hospital Medical Center (CA)","2011",427623000,415186000,NA,NA
"Prairie Lakes Health Care System (SD)","2011",84365552,74855064,NA,NA
"Premier Health Partners (OH)","2011",1719724000,1695967000,NA,NA
"Presbyterian Healthcare Services (NM)","2011",1923738000,618535000,"Presbyterian Healthcare Services","Y"
"Presence Health (IL)","2011",433596000,393928000,NA,NA
"ProHealth Care, Inc. (WI)","2011",672666000,639876000,NA,NA
"Providence St. Joseph Health (WA)","2011",12938530000,10140256000,"Providence St. Joseph Health","Y"
"Public Hospital Distrcit No. 1 of King County, DBA Valley Medical Center (WA)","2011",425427746,399057031,NA,NA
"Queen's Health Systems (HI)","2011",880507000,699282000,NA,NA
"Rady Children's Hospital and Health Center (CA)","2011",820503000,482124000,NA,NA
"Reading Health System (PA)","2011",914098889,826837399,NA,NA
"Redlands Community Hospital (CA)","2011",236088223,126662376,NA,NA
"Regional Health, Inc. (SD)","2011",544692000,464479000,NA,NA
"Regional One Health","2011",366297470,328120318,"Regional One Health","Y"
"Reid Hospital & Health Care Services (IN)","2011",286517129,287644820,NA,NA
"Renown Health (NV)","2011",783933000,529888000,NA,NA
"Riverside Health System (IL)","2011",263194381,248998756,NA,NA
"Riverview Hospital (IN)","2011",186911371,182487273,NA,NA
"Robert Wood Johnson Health Network (NJ)","2011",739100000,725311000,NA,NA
"Rochester General Health System (NY)","2011",707410384,678469059,NA,NA
"Rockford Health System (IL)","2011",397980000,359203000,NA,NA
"Roper St Francis Healthcare (aka CareAlliance Health Services) (SC)","2011",682858000,694560000,NA,NA
"Rush University Medical Center (IL)","2011",1709717000,1447884000,"Rush University Medical Center","Y"
"Saint Francis Care, Inc (CT)","2011",729423000,689607000,NA,NA
"Saint Francis Health System (OK)","2011",1029483337,958397118,NA,NA
"Saint Peter's Healthcare System (NJ)","2011",406809000,394080000,NA,NA
"Salem Hospital (OR)","2011",566067012,543161979,NA,NA
