"a_Name","actual","fit","resid","mad","mape","p"
"Adena Health System (OH)",417611746.999999,412187233.905404,-5424513.09459567,5297078.71329749,0.0125281615280196,0.98747183847198
"Adena Health System (OH)",432087086,426655815.414722,-5431270.58527803,5297078.71329749,0.0125281615280196,0.98747183847198
"Adena Health System (OH)",427850009,441658771.873854,13808762.8738543,5297078.71329749,0.0125281615280196,0.98747183847198
"Adena Health System (OH)",462407590,457216773.898567,-5190816.10143328,5297078.71329749,0.0125281615280196,0.98747183847198
"Adventist Health System (FL)",6663085000,6663085000.0005,0.000496864318847656,118817358.413721,0.014217009595365,0.985782990404635
"Adventist Health System (FL)",7014461000,6962222610.66807,-52238389.3319349,118817358.413721,0.014217009595365,0.985782990404635
"Adventist Health System (FL)",7239545999.99999,7457679074.77679,218133074.776803,118817358.413721,0.014217009595365,0.985782990404635
"Adventist Health System (FL)",8042214000.00001,7990059925.44505,-52154074.5549631,118817358.413721,0.014217009595365,0.985782990404635
"Adventist Health System (FL)",8788085999.99999,8562236474.59679,-225849525.403207,118817358.413721,0.014217009595365,0.985782990404635
"Adventist Health System (FL)",9266660000.00001,9177312301.22597,-89347698.7740326,118817358.413721,0.014217009595365,0.985782990404635
"Adventist Health System (FL)",9644644000.00002,9838642746.05462,193998746.054609,118817358.413721,0.014217009595365,0.985782990404635
"Adventist Health West (CA)",2485076000,2485076000.00056,0.000565052032470703,38726784.4246931,0.0125967512096094,0.987403248790391
"Adventist Health West (CA)",2704117000,2653441064.82496,-50675935.1750479,38726784.4246931,0.0125967512096094,0.987403248790391
"Adventist Health West (CA)",2794378000,2842080866.25392,47702866.2539215,38726784.4246931,0.0125967512096094,0.987403248790391
"Adventist Health West (CA)",2982827000,3044793333.237,61966333.2369933,38726784.4246931,0.0125967512096094,0.987403248790391
"Adventist Health West (CA)",3295764999.99999,3262675730.29361,-33089269.7063842,38726784.4246931,0.0125967512096094,0.987403248790391
"Adventist Health West (CA)",3550180000,3496914450.54716,-53265549.4528446,38726784.4246931,0.0125967512096094,0.987403248790391
"Adventist Health West (CA)",3724405000,3748792537.14709,24387537.1470952,38726784.4246931,0.0125967512096094,0.987403248790391
"Adventist HealthCare (MD)",721076996.999999,721076996.99991,-8.96453857421875e-05,5284198.94905983,0.00818627234595018,0.99181372765405
"Adventist HealthCare (MD)",614062223.000001,602978691.84077,-11083531.1592305,5284198.94905983,0.00818627234595018,0.99181372765405
"Adventist HealthCare (MD)",621757153,633057157.474891,11300004.4748908,5284198.94905983,0.00818627234595018,0.99181372765405
"Adventist HealthCare (MD)",657704902,664713936.099794,7009034.09979403,5284198.94905983,0.00818627234595018,0.99181372765405
"Adventist HealthCare (MD)",699914631.999999,698035756.951666,-1878875.04833364,5284198.94905983,0.00818627234595018,0.99181372765405
"Adventist HealthCare (MD)",738824746,733114321.931467,-5710424.06853235,5284198.94905983,0.00818627234595018,0.99181372765405
"Adventist HealthCare (MD)",770054126.000001,770046602.207453,-7523.792547822,5284198.94905983,0.00818627234595018,0.99181372765405
"Advocate Aurora Health",7425251999.99999,7425252000.00012,0.000131607055664062,177649649.471048,0.0200178133884649,0.979982186611535
"Advocate Aurora Health",7660886999.99999,7833696510.19711,172809510.197112,177649649.471048,0.0200178133884649,0.979982186611535
"Advocate Aurora Health",8100133000,8186102892.82646,85969892.8264637,177649649.471048,0.0200178133884649,0.979982186611535
"Advocate Aurora Health",8801997999.99999,8555089714.89417,-246908285.105824,177649649.471048,0.0200178133884649,0.979982186611535
"Advocate Aurora Health",9179575000,8941469943.59093,-238105056.409069,177649649.471048,0.0200178133884649,0.979982186611535
"Advocate Aurora Health",9489982000.00001,9346097963.90498,-143884036.095034,177649649.471048,0.0200178133884649,0.979982186611535
"Advocate Aurora Health",9414001000.00001,9769871765.66372,355870765.663702,177649649.471048,0.0200178133884649,0.979982186611535
"Agnesian HealthCare (WI)",355275000,355275000.000311,0.00031048059463501,2640804.03462228,0.00624020518609964,0.9937597948139
"Agnesian HealthCare (WI)",386682000,386177204.470026,-504795.529973626,2640804.03462228,0.00624020518609964,0.9937597948139
"Agnesian HealthCare (WI)",405145000,401830935.519942,-3314064.48005831,2640804.03462228,0.00624020518609964,0.9937597948139
"Agnesian HealthCare (WI)",410321000,418152582.351754,7831582.35175478,2640804.03462228,0.00624020518609964,0.9937597948139
"Agnesian HealthCare (WI)",437437000.000001,435172004.113799,-2264995.88620126,2640804.03462228,0.00624020518609964,0.9937597948139
"Agnesian HealthCare (WI)",456145000,452920453.271534,-3224546.72846633,2640804.03462228,0.00624020518609964,0.9937597948139
"Agnesian HealthCare (WI)",470085000,471430643.265591,1345643.26559114,2640804.03462228,0.00624020518609964,0.9937597948139
"Albany Medical Center Hospital (NY)",780935999.999999,780936000.000215,0.000216364860534668,19279155.1353938,0.0185933118036361,0.981406688196364
"Albany Medical Center Hospital (NY)",834891000,811964610.255961,-22926389.7440386,19279155.1353938,0.0185933118036361,0.981406688196364
"Albany Medical Center Hospital (NY)",878299999.999999,898790843.353438,20490843.3534396,19279155.1353938,0.0185933118036361,0.981406688196364
"Albany Medical Center Hospital (NY)",995902999.999998,995402380.759567,-500619.24043107,19279155.1353938,0.0185933118036361,0.981406688196364
"Albany Medical Center Hospital (NY)",1057769000,1102956261.05529,45187261.0552888,19279155.1353938,0.0185933118036361,0.981406688196364
"Albany Medical Center Hospital (NY)",1268570000,1222752536.3458,-45817463.6541982,19279155.1353938,0.0185933118036361,0.981406688196364
"Albany Medical Center Hospital (NY)",1356284203,1356252694.09986,-31508.9001443386,19279155.1353938,0.0185933118036361,0.981406688196364
"Allina Health (MN)",2985389000,2985388999.99855,-0.00145339965820312,6934180.66774641,0.00212282341280109,0.997877176587199
"Allina Health (MN)",3096915000,3082555647.17928,-14359352.8207164,6934180.66774641,0.00212282341280109,0.997877176587199
"Allina Health (MN)",3200956000,3222672629.86076,21716629.8607588,6934180.66774641,0.00212282341280109,0.997877176587199
"Allina Health (MN)",3372186000,3369463317.12,-2722682.87999487,6934180.66774641,0.00212282341280109,0.997877176587199
"Allina Health (MN)",3522447000,3523259497.04978,812497.049782753,6934180.66774641,0.00212282341280109,0.997877176587199
"Allina Health (MN)",3691759000,3684410120.54354,-7348879.45646048,6934180.66774641,0.00212282341280109,0.997877176587199
"Allina Health (MN)",3851703000.00001,3853282222.60506,1579222.60505819,6934180.66774641,0.00212282341280109,0.997877176587199
"Altru Health System (ND)",385394008,385394007.999918,-8.21352005004883e-05,5958758.73681088,0.0127362234016559,0.987263776598344
"Altru Health System (ND)",423222673,417154872.19821,-6067800.80179036,5958758.73681088,0.0127362234016559,0.987263776598344
"Altru Health System (ND)",426142497,437660095.132446,11517598.1324461,5958758.73681088,0.0127362234016559,0.987263776598344
"Altru Health System (ND)",457628461,459226520.161289,1598059.16128868,5958758.73681088,0.0127362234016559,0.987263776598344
"Altru Health System (ND)",489157383,481911702.091989,-7245680.90801162,5958758.73681088,0.0127362234016559,0.987263776598344
"Altru Health System (ND)",513508768,505776454.713139,-7732313.28686112,5958758.73681088,0.0127362234016559,0.987263776598344
"Altru Health System (ND)",523335184,530885042.867196,7549858.8671962,5958758.73681088,0.0127362234016559,0.987263776598344
"AnMed Health (SC)",375888631,375888630.999877,-0.00012284517288208,25326799.7606582,0.0506937702973757,0.949306229702624
"AnMed Health (SC)",514576825,465253163.548834,-49323661.4511665,25326799.7606582,0.0506937702973757,0.949306229702624
"AnMed Health (SC)",450089718,476089297.991073,25999579.9910728,25326799.7606582,0.0506937702973757,0.949306229702624
"AnMed Health (SC)",456101474.999999,487190754.796383,31089279.7963834,25326799.7606582,0.0506937702973757,0.949306229702624
"AnMed Health (SC)",487052452,498564332.640629,11511880.6406292,25326799.7606582,0.0506937702973757,0.949306229702624
"AnMed Health (SC)",493372340,510217011.832989,16844671.8329889,25326799.7606582,0.0506937702973757,0.949306229702624
"AnMed Health (SC)",564674484.000001,522155959.387757,-42518524.6122438,25326799.7606582,0.0506937702973757,0.949306229702624
"Anne Arundel Health System (MD)",477982000,477981999.99973,-0.00027000904083252,3670435.23540812,0.00644996509394467,0.993550034906055
"Anne Arundel Health System (MD)",527335000.000001,521417863.141446,-5917136.85855508,3670435.23540812,0.00644996509394467,0.993550034906055
"Anne Arundel Health System (MD)",545539000.000001,547095351.363915,1556351.36391449,3670435.23540812,0.00644996509394467,0.993550034906055
"Anne Arundel Health System (MD)",562937000,574103432.075147,11166432.0751468,3670435.23540812,0.00644996509394467,0.993550034906055
"Anne Arundel Health System (MD)",605225000,602514330.488249,-2710669.51175082,3670435.23540812,0.00644996509394467,0.993550034906055
"Anne Arundel Health System (MD)",635741000.000001,632404363.300944,-3336636.69905663,3670435.23540812,0.00644996509394467,0.993550034906055
"Anne Arundel Health System (MD)",664859999.999999,663854179.860836,-1005820.13916302,3670435.23540812,0.00644996509394467,0.993550034906055
"Antelope Valley Healthcare District (CA)",353958571.999999,353958571.999919,-8.05258750915527e-05,7410125.87652584,0.0199408619031435,0.980059138096857
"Antelope Valley Healthcare District (CA)",345341111,333222622.509782,-12118488.4902177,7410125.87652584,0.0199408619031435,0.980059138096857
"Antelope Valley Healthcare District (CA)",350481189,351368908.54467,887719.544669926,7410125.87652584,0.0199408619031435,0.980059138096857
"Antelope Valley Healthcare District (CA)",349333378,370556474.886539,21223096.8865396,7410125.87652584,0.0199408619031435,0.980059138096857
"Antelope Valley Healthcare District (CA)",394261397,390847983.987976,-3413413.01202351,7410125.87652584,0.0199408619031435,0.980059138096857
"Antelope Valley Healthcare District (CA)",409093539.000001,412310037.778597,3216498.77859592,7410125.87652584,0.0199408619031435,0.980059138096857
"Antelope Valley Healthcare District (CA)",446025099.999999,435013435.576446,-11011664.4235537,7410125.87652584,0.0199408619031435,0.980059138096857
"Archbold Medical Center (GA)",293030475,293030474.999737,-0.000263333320617676,2456168.10549898,0.00752610886225959,0.99247389113774
"Archbold Medical Center (GA)",307884511,304345828.228009,-3538682.77199084,2456168.10549898,0.00752610886225959,0.99247389113774
"Archbold Medical Center (GA)",315423619,316682542.032492,1258923.03249276,2456168.10549898,0.00752610886225959,0.99247389113774
"Archbold Medical Center (GA)",322286880,329545962.529879,7259082.52987963,2456168.10549898,0.00752610886225959,0.99247389113774
"Archbold Medical Center (GA)",346567016,342959662.356026,-3607353.64397424,2456168.10549898,0.00752610886225959,0.99247389113774
"Archbold Medical Center (GA)",358476109,356948315.80554,-1527793.19446009,2456168.10549898,0.00752610886225959,0.99247389113774
"Archbold Medical Center (GA)",371539094,371537752.434568,-1341.56543195248,2456168.10549898,0.00752610886225959,0.99247389113774
"Asante Health System (OR)",478280000,478280000.000146,0.000146150588989258,20314066.9102706,0.0301558742615004,0.9698441257385
"Asante Health System (OR)",503866999.999999,503355560.286226,-511439.713772893,20314066.9102706,0.0301558742615004,0.9698441257385
"Asante Health System (OR)",525505999.999999,554578615.895235,29072615.8952361,20314066.9102706,0.0301558742615004,0.9698441257385
"Asante Health System (OR)",629364000,611300760.897902,-18063239.1020986,20314066.9102706,0.0301558742615004,0.9698441257385
"Asante Health System (OR)",706402999.999999,674141876.39122,-32261123.6087793,20314066.9102706,0.0301558742615004,0.9698441257385
"Asante Health System (OR)",765162999.999999,743794934.457942,-21368065.5420568,20314066.9102706,0.0301558742615004,0.9698441257385
"Asante Health System (OR)",780112999.999999,821034984.509803,40921984.5098041,20314066.9102706,0.0301558742615004,0.9698441257385
"Ascension Health (MO)",13573032000,13573031999.9958,-0.00414657592773438,368955090.644406,0.0205403595109153,0.979459640489085
"Ascension Health (MO)",14325388000,14474672291.5396,149284291.53964,368955090.644406,0.0205403595109153,0.979459640489085
"Ascension Health (MO)",15202275000,15672631494.0847,470356494.084661,368955090.644406,0.0205403595109153,0.979459640489085
"Ascension Health (MO)",17678534000,16974323451.2799,-704210548.720085,368955090.644406,0.0205403595109153,0.979459640489085
"Ascension Health (MO)",18756607000,18389113474.782,-367493525.21804,368955090.644406,0.0205403595109153,0.979459640489085
"Ascension Health (MO)",20158844000,19927245906.0169,-231598093.983074,368955090.644406,0.0205403595109153,0.979459640489085
"Ascension Health (MO)",20940187000,21599929680.9612,659742680.961197,368955090.644406,0.0205403595109153,0.979459640489085
"Augusta Healthcare (VA)",259703080,259703079.999808,-0.000192821025848389,4511093.14518303,0.0159193077556087,0.984080692244391
"Augusta Healthcare (VA)",259395395,257545343.51659,-1850051.48341018,4511093.14518303,0.0159193077556087,0.984080692244391
"Augusta Healthcare (VA)",259820882,267771196.632109,7950314.63210902,4511093.14518303,0.0159193077556087,0.984080692244391
"Augusta Healthcare (VA)",281727413,278424863.102054,-3302549.89794624,4511093.14518303,0.0159193077556087,0.984080692244391
"Augusta Healthcare (VA)",300375553,289525110.940253,-10850442.0597469,4511093.14518303,0.0159193077556087,0.984080692244391
"Augusta Healthcare (VA)",293881934,301091568.153898,7209634.15389794,4511093.14518303,0.0159193077556087,0.984080692244391
"Augusta Healthcare (VA)",312730104,313144763.788978,414659.7889781,4511093.14518303,0.0159193077556087,0.984080692244391
"Banner Health (AZ)",4355818000,4355818000.0006,0.000603675842285156,177624757.832286,0.034079990575614,0.965920009424386
"Banner Health (AZ)",4388462000,4224779529.06821,-163682470.931787,177624757.832286,0.034079990575614,0.965920009424386
"Banner Health (AZ)",4424053000.00001,4597085906.99182,173032906.99181,177624757.832286,0.034079990575614,0.965920009424386
"Banner Health (AZ)",4745983000,5003811612.23599,257828612.235998,177624757.832286,0.034079990575614,0.965920009424386
"Banner Health (AZ)",5679224999.99999,5448281968.31287,-230943031.687125,177624757.832286,0.034079990575614,0.965920009424386
"Banner Health (AZ)",6174647999.99999,5934156964.39921,-240491035.600777,177624757.832286,0.034079990575614,0.965920009424386
"Banner Health (AZ)",6288071000.00001,6465466247.37791,177395247.3779,177624757.832286,0.034079990575614,0.965920009424386
"Baptist Health (AR)",769745000,769745000.000134,0.000133991241455078,15692749.5223997,0.0188742572422426,0.981125742757757
"Baptist Health (AR)",757149999.999999,745451943.67903,-11698056.3209687,15692749.5223997,0.0188742572422426,0.981125742757757
"Baptist Health (AR)",753221000,790349603.345021,37128603.3450201,15692749.5223997,0.0188742572422426,0.981125742757757
"Baptist Health (AR)",858512999.999999,838091702.100496,-20421297.8995028,15692749.5223997,0.0188742572422426,0.981125742757757
"Baptist Health (AR)",912465999.999999,888866958.947177,-23599041.0528215,15692749.5223997,0.0188742572422426,0.981125742757757
"Baptist Health (AR)",933491000.000001,942877158.091448,9386158.09144783,15692749.5223997,0.0188742572422426,0.981125742757757
"Baptist Health (AR)",992722000.000001,1000338089.9469,7616089.94690323,15692749.5223997,0.0188742572422426,0.981125742757757
"Baptist Health Care Corporation (FL)",461015000.000001,461015000.000176,0.000175237655639648,12260575.0326115,0.0249690823498449,0.975030917650155
"Baptist Health Care Corporation (FL)",474250000,462352064.285922,-11897935.7140774,12260575.0326115,0.0249690823498449,0.975030917650155
"Baptist Health Care Corporation (FL)",484831000,475645461.300345,-9185538.69965458,12260575.0326115,0.0249690823498449,0.975030917650155
"Baptist Health Care Corporation (FL)",467063000,489340772.132056,22277772.1320564,12260575.0326115,0.0249690823498449,0.975030917650155
"Baptist Health Care Corporation (FL)",483563000,503450716.910566,19887716.9105658,12260575.0326115,0.0249690823498449,0.975030917650155
"Baptist Health Care Corporation (FL)",527095000,517988435.634387,-9106564.3656131,12260575.0326115,0.0249690823498449,0.975030917650155
"Baptist Health Care Corporation (FL)",546436000,532967502.593862,-13468497.4061384,12260575.0326115,0.0249690823498449,0.975030917650155
"Baptist Health South Florida",1979588137,1979588136.9995,-0.000499486923217773,27426727.9679394,0.0125482097080002,0.987451790292
"Baptist Health South Florida",1971319499,2015921573.33048,44602074.3304803,27426727.9679394,0.0125482097080002,0.987451790292
"Baptist Health South Florida",2108301924,2091390327.95378,-16911596.0462208,27426727.9679394,0.0125482097080002,0.987451790292
"Baptist Health South Florida",2216150066,2169821155.54962,-46328910.4503798,27426727.9679394,0.0125482097080002,0.987451790292
"Baptist Health South Florida",2284781864,2251335458.10519,-33446405.894815,27426727.9679394,0.0125482097080002,0.987451790292
"Baptist Health South Florida",2304789260,2336059816.45495,31270556.4549541,27426727.9679394,0.0125482097080002,0.987451790292
"Baptist Health South Florida",2404698667,2424126219.59823,19427552.5982265,27426727.9679394,0.0125482097080002,0.987451790292
"Baptist Health System, Inc. FL",1054831000,1054831000.00015,0.000153660774230957,19458722.1570099,0.0139411263333731,0.986058873666627
"Baptist Health System, Inc. FL",1129065000,1122866935.23915,-6198064.76085281,19458722.1570099,0.0139411263333731,0.986058873666627
"Baptist Health System, Inc. FL",1183186000,1207427146.95492,24241146.9549212,19458722.1570099,0.0139411263333731,0.986058873666627
"Baptist Health System, Inc. FL",1288125000,1298683858.86601,10558858.8660145,19458722.1570099,0.0139411263333731,0.986058873666627
"Baptist Health System, Inc. FL",1446329000,1397192342.00456,-49136657.9954455,19458722.1570099,0.0139411263333731,0.986058873666627
"Baptist Health System, Inc. FL",1516977000,1503555908.35428,-13421091.6457193,19458722.1570099,0.0139411263333731,0.986058873666627
"Baptist Health System, Inc. FL",1585775000,1618430234.87596,32655234.8759625,19458722.1570099,0.0139411263333731,0.986058873666627
"Baptist Healthcare System, Inc. and Affiliates (KY)",1301026000,1301026000.00036,0.000360488891601562,38348068.4037352,0.0204454891919125,0.979554510808087
"Baptist Healthcare System, Inc. and Affiliates (KY)",1407096000,1440345805.10087,33249805.1008744,38348068.4037352,0.0204454891919125,0.979554510808087
"Baptist Healthcare System, Inc. and Affiliates (KY)",1638529000,1595074326.71076,-43454673.2892435,38348068.4037352,0.0204454891919125,0.979554510808087
"Baptist Healthcare System, Inc. and Affiliates (KY)",1813048000,1767296821.04387,-45751178.9561245,38348068.4037352,0.0204454891919125,0.979554510808087
"Baptist Healthcare System, Inc. and Affiliates (KY)",1922477000,1959086101.04234,36609101.0423429,38348068.4037352,0.0204454891919125,0.979554510808087
"Baptist Healthcare System, Inc. and Affiliates (KY)",2110233000,2172771465.39453,62538465.3945305,38348068.4037352,0.0204454891919125,0.979554510808087
"Baptist Healthcare System, Inc. and Affiliates (KY)",2457805000,2410971744.95733,-46833255.0426698,38348068.4037352,0.0204454891919125,0.979554510808087
"Baxter Regional Health System (AR)",148089817,148089817.000066,6.57737255096436e-05,4329258.36495877,0.0260903753185857,0.973909624681414
"Baxter Regional Health System (AR)",157570699,148923351.76154,-8647347.23846057,4329258.36495877,0.0260903753185857,0.973909624681414
"Baxter Regional Health System (AR)",149670938,156491559.410826,6820621.41082624,4329258.36495877,0.0260903753185857,0.973909624681414
"Baxter Regional Health System (AR)",162165174,164465852.598165,2300678.59816563,4329258.36495877,0.0260903753185857,0.973909624681414
"Baxter Regional Health System (AR)",168201011,172869119.183186,4668108.18318573,4329258.36495877,0.0260903753185857,0.973909624681414
"Baxter Regional Health System (AR)",180711834,181725596.515912,1013762.515912,4329258.36495877,0.0260903753185857,0.973909624681414
"Baxter Regional Health System (AR)",197915245,191060954.391905,-6854290.60809544,4329258.36495877,0.0260903753185857,0.973909624681414
"Bay Health Medical Center (DE)",403247039,403247039.000077,7.7366828918457e-05,5236988.55908693,0.00997714286508118,0.990022857134919
"Bay Health Medical Center (DE)",440348978,445552682.707898,5203704.70789832,5236988.55908693,0.00997714286508118,0.990022857134919
"Bay Health Medical Center (DE)",470949727,469380112.204098,-1569614.79590178,5236988.55908693,0.00997714286508118,0.990022857134919
"Bay Health Medical Center (DE)",492890631,494549189.958602,1658558.95860207,5236988.55908693,0.00997714286508118,0.990022857134919
"Bay Health Medical Center (DE)",533563252.000001,521139088.447793,-12424163.5522076,5236988.55908693,0.00997714286508118,0.990022857134919
"Bay Health Medical Center (DE)",553687113,549233858.310671,-4453254.68932855,5236988.55908693,0.00997714286508118,0.990022857134919
"Bay Health Medical Center (DE)",567573118.000001,578922741.209594,11349623.2095928,5236988.55908693,0.00997714286508118,0.990022857134919
"BayCare Health System (FL)",2211107000,2211106999.99983,-0.000164985656738281,46500261.2198594,0.0151552067834271,0.984844793216573
"BayCare Health System (FL)",2320410000,2308891467.99744,-11518532.0025535,46500261.2198594,0.0151552067834271,0.984844793216573
"BayCare Health System (FL)",2482208000,2560545458.76046,78337458.7604666,46500261.2198594,0.0151552067834271,0.984844793216573
"BayCare Health System (FL)",2890069000,2841038031.53821,-49030968.4617882,46500261.2198594,0.0151552067834271,0.984844793216573
"BayCare Health System (FL)",3208297999.99999,3153829594.77266,-54468405.2273345,46500261.2198594,0.0151552067834271,0.984844793216573
"BayCare Health System (FL)",3551470000,3502813865.21653,-48656134.783473,46500261.2198594,0.0151552067834271,0.984844793216573
"BayCare Health System (FL)",3808884000,3892374329.30323,83490329.3032351,46500261.2198594,0.0151552067834271,0.984844793216573
"Baystate Health System, Inc. (MA)",993803999.999999,993804000.000631,0.000632047653198242,11638471.2418761,0.010028475753202,0.989971524246798
"Baystate Health System, Inc. (MA)",1062503000,1043379792.62751,-19123207.3724896,11638471.2418761,0.010028475753202,0.989971524246798
"Baystate Health System, Inc. (MA)",1077969000,1099492978.61565,21523978.6156466,11638471.2418761,0.010028475753202,0.989971524246798
"Baystate Health System, Inc. (MA)",1147671000,1158777059.28374,11106059.2837403,11638471.2418761,0.010028475753202,0.989971524246798
"Baystate Health System, Inc. (MA)",1222042000,1221419506.34028,-622493.659716845,11638471.2418761,0.010028475753202,0.989971524246798
"Baystate Health System, Inc. (MA)",1309017000,1287619347.56038,-21397652.4396224,11638471.2418761,0.010028475753202,0.989971524246798
"Baystate Health System, Inc. (MA)",1349892000,1357587907.32128,7695907.32128477,11638471.2418761,0.010028475753202,0.989971524246798
"Beacon Health System (IN)",656340000.000001,656340000.000211,0.000209808349609375,16328112.9042341,0.0199383539453001,0.9800616460547
"Beacon Health System (IN)",845787000,814373748.196256,-31413251.8037444,16328112.9042341,0.0199383539453001,0.9800616460547
"Beacon Health System (IN)",777684000,830772363.356501,53088363.3565006,16328112.9042341,0.0199383539453001,0.9800616460547
"Beacon Health System (IN)",869541000.000001,847517606.213846,-22023393.7861545,16328112.9042341,0.0199383539453001,0.9800616460547
"Beacon Health System (IN)",861898999.999999,864617135.059801,2718135.05980277,16328112.9042341,0.0199383539453001,0.9800616460547
"Beacon Health System (IN)",885941999.999999,882078784.41957,-3863215.58042955,16328112.9042341,0.0199383539453001,0.9800616460547
"Beacon Health System (IN)",901101000.000001,899910569.257204,-1190430.74279666,16328112.9042341,0.0199383539453001,0.9800616460547
"Beaumont Health System (MI)",1999916000,1999916000.00024,0.000241518020629883,298711988.020281,0.0960613777874932,0.903938622212507
"Beaumont Health System (MI)",2118306000,1964276889.57563,-154029110.424364,298711988.020281,0.0960613777874932,0.903938622212507
"Beaumont Health System (MI)",2159012000,2317364016.18417,158352016.184172,298711988.020281,0.0960613777874932,0.903938622212507
"Beaumont Health System (MI)",2289959000,2737413550.59442,447454550.594414,298711988.020281,0.0960613777874932,0.903938622212507
"Beaumont Health System (MI)",3884785000,3237765958.91088,-647019041.089122,298711988.020281,0.0960613777874932,0.903938622212507
"Beaumont Health System (MI)",4145285000,3834543742.17556,-310741257.82444,298711988.020281,0.0960613777874932,0.903938622212507
"Beaumont Health System (MI)",4173869000,4547256940.02521,373387940.02521,298711988.020281,0.0960613777874932,0.903938622212507
"Beebe Medical Center (DE)",248903087,248903086.999891,-0.000108778476715088,4661174.99354155,0.0147928410840428,0.985207158915957
"Beebe Medical Center (DE)",267024208,260119403.163916,-6904804.83608392,4661174.99354155,0.0147928410840428,0.985207158915957
"Beebe Medical Center (DE)",278929614,284168672.643322,5239058.64332163,4661174.99354155,0.0147928410840428,0.985207158915957
"Beebe Medical Center (DE)",304629854,310566713.561213,5936859.56121242,4661174.99354155,0.0147928410840428,0.985207158915957
"Beebe Medical Center (DE)",335634731,339554641.710853,3919910.71085328,4661174.99354155,0.0147928410840428,0.985207158915957
"Beebe Medical Center (DE)",381106323.999999,371399485.731101,-9706838.26889879,4661174.99354155,0.0147928410840428,0.985207158915957
"Beebe Medical Center (DE)",405476340.000001,406397092.934313,920752.934312046,4661174.99354155,0.0147928410840428,0.985207158915957
"Beloit Health System (WI)",179208011,179208011.000075,7.51316547393799e-05,3324408.36409864,0.0161646804615473,0.983835319538453
"Beloit Health System (WI)",182334188,181828312.945275,-505875.054725051,3324408.36409864,0.0161646804615473,0.983835319538453
"Beloit Health System (WI)",184990372,191287592.346976,6297220.34697533,3324408.36409864,0.0161646804615473,0.983835319538453
"Beloit Health System (WI)",210235929,201266190.019266,-8969738.98073366,3324408.36409864,0.0161646804615473,0.983835319538453
