"Rank","a_Name","Year","Total_hospital_beds","Admissions","Inpatient_Days","Surgical_operations_inpatient","Emergency_room_visits","Other_outpatient_visits_non_ER","Surgical_operations_outpatient","Total_outpatient_visits","Total_Medicaid_days","Total_Medicaid_discharges","Total_Medicare_days","Total_Medicare_discharges","Physicians_and_dentists_FT","Total_personnel_FT","Total_Physicians_NE","Total_Physicians_TE","Total_Physicians_TG","Total_Physicians_TC","Total_Physicians_TP","All_Physicians","Hospitals"
12,"Sutter Health (CA)",2016,4175,200341,983786,50952,912005,1992938,91458,2904943,264248,63528,409975,75015,71,15896,3812,352,6664,1098,11926,23923,27
13,"Mayo Clinic Health System (MN)",2011,3200,151137,815550,38947,431102,2199094,72717,2630196,153148,22340,381691,72030,1142,17509,730,1698,284,55,2831,6740,25
13,"Mayo Clinic Health System (MN)",2012,3215,149687,814355,36936,461995,2308878,69851,2770873,149698,22594,385871,70804,1191,17851,525,1302,162,40,2151,5371,25
13,"Mayo Clinic Health System (MN)",2013,3351,136755,740416,53483,401191,2059022,85339,2460213,139323,20098,352251,64542,3508,38407,317,1417,160,95,4397,9894,24
13,"Mayo Clinic Health System (MN)",2014,3329,133082,753882,51162,416167,1913476,77155,2329643,168843,24350,360169,60810,2969,37264,1043,3270,90,54,4518,11944,24
13,"Mayo Clinic Health System (MN)",2015,3108,133311,738361,50981,412753,2068960,81609,2481713,171540,26771,354027,62017,3332,39918,204,3741,767,57,4769,12870,24
13,"Mayo Clinic Health System (MN)",2016,2782,127372,681050,49952,365130,1714723,77463,2079853,150190,25200,329991,58204,3353,37928,190,3657,1334,29,5210,13773,22
14,"Advocate Aurora Health",2016,5494,274656,1285225,73439,926063,3592021,148850,4518084,265868,55763,625906,119968,86,25986,4367,1465,6536,767,14535,27756,25
15,"University of California Health System",2011,2976,141373,856311,53553,273460,4001357,69932,4274817,240357,33466,260548,44009,669,28732,210,921,1221,0,6858,9879,7
15,"University of California Health System",2012,3007,144897,872214,54789,290192,3931283,74401,4221475,240312,34057,277908,46360,95,28807,204,3079,1353,0,7213,11944,7
15,"University of California Health System",2013,2970,149408,882428,55358,295305,4067260,78687,4362565,246723,34689,288760,48496,98,30385,177,3034,1379,0,7167,11855,7
15,"University of California Health System",2014,2977,151494,892403,57015,289244,3855185,85291,4144429,269854,37970,294211,48807,111,31359,171,973,683,0,6577,8515,7
15,"University of California Health System",2015,3086,153688,913031,57555,322930,4141135,91896,4464065,312142,47935,308636,50505,108,32105,182,991,1513,0,7267,10061,7
15,"University of California Health System",2016,3131,157511,968234,60554,338462,4424741,93981,4763203,311292,46570,310940,50866,932,34699,0,963,1580,0,7365,10840,7
16,"Adventist Health System (FL)",2011,7087,358820,1609996,89784,1293103,3070199,128494,4363302,237653,55209,786855,154335,486,37156,8080,557,1691,121,10449,21384,33
16,"Adventist Health System (FL)",2012,7268,359916,1635136,92623,1485064,3030735,128535,4515799,235367,56676,778513,155318,462,37126,8432,2828,2181,351,11672,25926,34
16,"Adventist Health System (FL)",2013,7349,357670,1667192,93744,1536579,3244786,132866,4781365,250022,57265,800647,154409,462,37469,8340,1062,2441,1179,13219,26703,34
16,"Adventist Health System (FL)",2014,7565,372610,1714815,92959,1587233,3505322,133447,5092556,285570,61361,818719,154710,482,39017,8507,1498,3275,143,13423,27328,34
16,"Adventist Health System (FL)",2015,7675,381533,1750634,96633,1613629,3510347,138094,5123976,288485,65857,830891,157340,554,42358,7473,1687,2928,134,13138,25914,34
16,"Adventist Health System (FL)",2016,8345,409388,1889860,103999,1850524,3322019,150658,5172543,287933,61758,1025122,194166,615,46320,8320,1757,3792,96,13965,28545,36
17,"Universal Health Services, Inc. (PA)",2011,17062,550512,4507670,58017,909570,3290128,76215,4199698,1402219,145757,1295440,171381,370,40348,2880,85,304,276,3966,7881,130
17,"Universal Health Services, Inc. (PA)",2012,17511,574757,4608667,53975,832652,3343066,73671,4175718,1472315,158057,1278609,168497,432,39339,2790,97,461,352,4196,8328,131
17,"Universal Health Services, Inc. (PA)",2013,17802,573849,4724656,54027,830326,3240243,74901,4070569,1524507,155904,1330277,170096,437,41051,2779,109,526,332,3925,8108,133
17,"Universal Health Services, Inc. (PA)",2014,17821,589892,4768204,56968,855865,2969184,74211,3825049,1549839,169379,1355052,176790,483,41604,1975,104,649,308,3240,6759,133
17,"Universal Health Services, Inc. (PA)",2015,18129,601157,4926385,55185,913265,2853220,74602,3766485,1649289,177179,1385393,176933,480,43181,1789,438,1208,382,3913,8210,134
17,"Universal Health Services, Inc. (PA)",2016,18630,620991,5023601,62583,1025995,3036528,86448,4062523,1641385,189369,1395311,181315,491,45331,1897,466,1318,456,4252,8880,143
18,"Northwell Health, Inc. Formerly North Shore-Long Island Jewish Health System (NY)",2011,4587,255553,1413580,56441,640065,1936492,126782,2576557,280924,51571,732109,110342,3449,43649,9296,3544,208,178,13228,29903,11
18,"Northwell Health, Inc. Formerly North Shore-Long Island Jewish Health System (NY)",2012,4767,258995,1443677,56603,673524,2070656,127230,2744180,309630,56033,727188,109133,3001,42680,13374,2419,21,471,16285,35571,12
18,"Northwell Health, Inc. Formerly North Shore-Long Island Jewish Health System (NY)",2013,4731,253241,1415587,56682,664915,2894131,141345,3559046,318440,58459,709946,107050,2270,43595,12461,2694,21,1864,17022,36332,12
18,"Northwell Health, Inc. Formerly North Shore-Long Island Jewish Health System (NY)",2014,4681,254433,1416396,58433,723266,2811593,143009,3534859,319809,54857,707619,106847,3129,33948,14814,3137,5,234,18190,39509,13
18,"Northwell Health, Inc. Formerly North Shore-Long Island Jewish Health System (NY)",2015,4454,248000,1360157,57661,712290,3212147,147172,3924437,319729,54300,666977,102249,2963,35685,17121,3820,450,211,21602,46167,13
18,"Northwell Health, Inc. Formerly North Shore-Long Island Jewish Health System (NY)",2016,4914,294473,1594592,68081,857904,3552891,172694,4410795,362181,68992,768392,122638,4402,42846,12575,6389,357,950,20271,44944,14
19,"Baylor Scott & White Health (TX)",2013,3694,155890,827064,36170,644685,2372061,53745,3016746,125573,24113,361137,62937,724,14773,5420,803,1504,1,8275,16727,19
19,"Baylor Scott & White Health (TX)",2014,3790,166160,861549,38505,697455,2844549,67172,3542004,118353,23543,366814,63041,7,14883,4310,521,2137,11,9383,16369,21
19,"Baylor Scott & White Health (TX)",2015,3723,172780,895972,40055,732117,2811154,70753,3543271,109454,22109,415626,73936,81,14444,6767,1118,243,0,8128,16337,19
19,"Baylor Scott & White Health (TX)",2016,3728,183007,891933,44212,728837,3002283,75422,3731120,106795,21733,400319,74051,0,13820,5025,1839,1414,1,8279,16558,19
20,"Cleveland Clinic Health System (OH)",2011,3405,156794,865763,57650,421552,5240792,119038,5662344,95290,16945,465942,76462,2265,33129,1168,2205,2639,862,6874,16013,11
20,"Cleveland Clinic Health System (OH)",2012,3564,157454,874500,55619,456565,5661922,133729,6118487,103877,17959,474608,77940,2279,34394,1059,5352,2672,3210,7109,21681,11
20,"Cleveland Clinic Health System (OH)",2013,3539,157086,858882,57395,476142,6090156,144790,6566298,101305,18202,459202,77037,2474,35757,955,5673,2846,3383,7420,22751,11
20,"Cleveland Clinic Health System (OH)",2014,3578,152532,844857,55560,497681,6368642,137086,6866323,127401,23687,446385,73738,2415,34207,1227,4110,238,2961,8536,19487,11
20,"Cleveland Clinic Health System (OH)",2015,3855,171994,936903,60194,611338,6789128,140594,7400466,157714,31152,492765,82322,2506,37175,939,7305,464,997,9705,21916,13
20,"Cleveland Clinic Health System (OH)",2016,4946,183760,978068,60216,692894,7524672,146568,8217566,169710,32659,514705,88097,2644,42444,2002,8282,607,59,10950,24544,15
21,"Steward Health Care System, LLC (MA)",2011,1627,102243,385168,16695,312111,988649,34688,1300760,56784,17976,211756,48532,125,6609,0,0,0,0,0,125,10
21,"Steward Health Care System, LLC (MA)",2012,1809,95458,437595,15600,411745,1005602,31097,1417347,80807,17948,236890,45981,75,6893,405,60,0,44,509,1093,11
21,"Steward Health Care System, LLC (MA)",2013,1815,91547,434708,13551,498427,904482,29059,1402909,85018,17131,232528,43759,82,7041,0,0,0,0,0,82,11
21,"Steward Health Care System, LLC (MA)",2014,1699,76211,396534,11676,465001,792881,24574,1257882,86421,16460,202131,36455,62,6014,0,0,0,0,0,62,9
21,"Steward Health Care System, LLC (MA)",2015,1699,77351,401701,11497,477242,832079,24000,1309321,80830,16129,211214,36086,57,6072,0,0,0,0,0,57,9
21,"Steward Health Care System, LLC (MA)",2016,6163,253723,1256622,49065,1599611,2732225,99787,4331836,280460,57973,619821,113488,192,24192,1673,28,911,256,3161,6221,33
22,"New York-Presbyterian Healthcare System, Inc.",2011,4671,235205,1381705,73190,626629,2708470,143303,3335099,370722,61257,607925,93601,636,32979,718,983,27,0,6089,8453,9
22,"New York-Presbyterian Healthcare System, Inc.",2012,4681,237226,1404654,74097,585149,2942959,149141,3528108,388218,66373,637948,92643,930,34634,1059,320,81,0,7187,9577,9
22,"New York-Presbyterian Healthcare System, Inc.",2013,4832,240975,1415486,78673,705594,2925087,164758,3630681,411734,74021,662598,94524,1164,37467,6775,831,210,414,7932,17326,9
22,"New York-Presbyterian Healthcare System, Inc.",2014,3202,155543,946540,41852,538508,2392859,110778,2931367,291337,52145,419321,59534,324,25839,5166,136,135,203,5640,11604,4
22,"New York-Presbyterian Healthcare System, Inc.",2015,3222,153815,951240,43181,553742,2483975,116537,3037717,301299,49675,427080,59275,195,25643,5777,255,249,7,6854,13337,4
22,"New York-Presbyterian Healthcare System, Inc.",2016,3540,182922,1115091,49959,624754,2722247,136015,3347001,340283,57768,511024,69852,405,29859,6493,551,251,389,7684,15773,4
23,"Banner Health (AZ)",2011,4373,255331,1076512,105954,709823,2998942,83655,3708765,228404,53622,532232,116466,365,20977,447,1637,277,3,2364,5093,23
23,"Banner Health (AZ)",2012,4329,243062,1023801,92294,732056,3065251,80550,3797307,209472,50835,476087,103009,29,20152,1278,684,516,341,5898,8746,23
23,"Banner Health (AZ)",2013,4376,227895,1008680,60966,672843,2879715,107151,3552558,197186,43546,475421,101382,153,20688,5331,1956,2175,395,9858,19868,24
23,"Banner Health (AZ)",2014,5104,253603,1180368,65585,748693,2920681,105177,3669374,307330,64263,529491,105162,39,24764,5228,2379,3554,203,11364,22767,27
23,"Banner Health (AZ)",2015,5201,245886,1171968,56541,1004698,2741492,92933,3746190,326491,65995,543679,106301,729,26214,6345,3157,4082,122,13706,28141,29
23,"Banner Health (AZ)",2016,4909,231158,1114136,49797,647272,2889783,99590,3537055,315334,65692,525816,99781,733,26523,5821,3435,3809,428,13493,27719,28
24,"Intermountain Health Care, Inc. (UT)",2011,2612,139900,541039,40725,459852,3139584,101528,3599436,103298,25634,170449,41064,132,14696,419,313,157,10,5780,6811,22
24,"Intermountain Health Care, Inc. (UT)",2012,2615,141471,540623,41188,473022,3357541,98044,3830563,105393,27027,173722,42954,124,14703,621,378,773,193,5943,8032,22
24,"Intermountain Health Care, Inc. (UT)",2013,2629,134878,522574,38274,498154,3177018,97281,3675172,108199,27303,167620,41034,104,14436,1234,442,851,198,6684,9513,22
24,"Intermountain Health Care, Inc. (UT)",2014,2662,134749,526967,38910,605205,3949346,103449,4554551,94878,23151,195242,45662,153,14819,1312,256,447,447,5842,8457,22
24,"Intermountain Health Care, Inc. (UT)",2015,2652,138030,520627,40455,569333,4302458,103096,4871791,100773,26470,179577,46495,208,15652,690,206,664,281,6685,8734,22
24,"Intermountain Health Care, Inc. (UT)",2016,2674,139885,531860,41034,507255,4530315,107126,5037570,100933,25469,185473,45283,168,16821,853,216,1004,143,6143,8527,22
25,"New York City Health & Hospitals Corporation",2011,6642,208514,2024629,28895,1110787,4417371,79962,5528158,1266669,130395,451485,44653,1620,36736,636,1607,1141,69,4015,9088,12
25,"New York City Health & Hospitals Corporation",2012,6544,201646,1923829,28682,1151473,4285263,74186,5436736,1187105,116218,362047,48087,768,34860,681,1617,1273,128,3761,8228,12
25,"New York City Health & Hospitals Corporation",2013,6722,191581,1734438,25982,1178616,4103656,69551,5282271,1072376,115062,327383,41054,659,35239,691,1569,1417,98,4206,8640,12
25,"New York City Health & Hospitals Corporation",2014,4913,184140,1393177,32556,1154031,3959684,76417,5113715,856575,119945,348352,44134,580,31732,296,740,2712,62,4250,8640,12
25,"New York City Health & Hospitals Corporation",2015,4878,183092,1395772,27292,1147998,3955930,73170,5103928,866394,117886,365352,43518,591,33809,259,704,1841,96,3338,6829,12
25,"New York City Health & Hospitals Corporation",2016,4768,175897,1367894,21049,1144005,3660381,74833,4804386,834477,109211,380449,43908,654,33471,226,1075,1452,141,4966,8514,12
26,"Indiana University Health",2011,3063,134649,702303,37611,502246,2019075,56271,2521321,163439,31008,324182,57194,335,21110,3326,2241,965,45,6577,13489,16
26,"Indiana University Health",2012,3156,131792,714313,37393,527186,2158073,55472,2685259,162525,30206,321923,55346,325,21737,3256,2442,574,32,6625,13254,17
26,"Indiana University Health",2013,3028,123847,676589,35917,517767,2209788,52522,2727555,162859,30577,311063,54754,313,20452,2861,2772,763,92,6488,13289,17
26,"Indiana University Health",2014,2906,117934,644701,33096,501722,2234737,49034,2736459,152437,27353,293541,52587,356,21328,2591,3169,746,13,6519,13394,17
26,"Indiana University Health",2015,2699,111406,624330,32002,487755,2220764,45981,2708519,135936,22885,271146,47914,280,19908,2234,3523,334,4,6095,12470,14
26,"Indiana University Health",2016,2590,104317,610653,31323,474787,2269227,45058,2744014,162463,37437,260913,49787,184,19442,1661,3999,270,404,6334,12852,14
27,"SSM Health Care (MO)",2011,3160,155838,750042,35320,525011,1634687,53445,2159698,230670,35644,324504,68046,146,13115,3892,1163,285,164,5504,11154,14
27,"SSM Health Care (MO)",2012,3304,158712,766209,35117,608981,1890920,65553,2499901,219188,35501,330647,66840,186,14105,4414,1150,484,338,6386,12958,16
27,"SSM Health Care (MO)",2013,3304,156561,776156,35781,626896,1921637,66009,2548533,212434,34567,340725,68444,192,14005,4652,1778,509,320,7259,14710,17
27,"SSM Health Care (MO)",2014,3662,173152,870823,38617,708811,2008895,70462,2717706,248367,40039,387661,75401,198,15501,3963,1373,1037,1049,7422,15042,18
27,"SSM Health Care (MO)",2015,3677,175623,888471,39885,761631,2122282,73485,2883913,254826,42603,399656,77054,191,15931,3830,1077,1127,418,6452,13095,18
27,"SSM Health Care (MO)",2016,4010,187381,948971,42212,831185,3388234,89900,4219419,255516,43361,428064,83478,335,19039,3556,1440,1444,512,6952,14239,22
28,"HealthPartners, Inc. (MN)",2011,517,30256,137042,10756,95213,78332,15262,173545,38028,8812,57236,11824,5,2184,52,0,294,552,898,1801,3
28,"HealthPartners, Inc. (MN)",2012,1077,53578,253523,15724,106321,168592,23728,274913,75744,13435,98088,21735,110,6153,50,16,392,798,1256,2622,5
28,"HealthPartners, Inc. (MN)",2013,1053,53484,249490,18249,147948,240001,25072,387949,75421,13484,95350,21723,113,6269,66,15,159,747,1213,2313,5
28,"HealthPartners, Inc. (MN)",2014,1095,59124,264012,18817,168389,480936,28936,649325,77321,14722,107379,24487,115,6520,362,19,196,765,1342,2799,7
28,"HealthPartners, Inc. (MN)",2015,1123,58705,271119,17478,135598,380664,28506,516262,81374,14866,111783,24970,114,6537,509,20,345,793,1667,3448,7
28,"HealthPartners, Inc. (MN)",2016,1181,60376,287531,21060,193837,560522,32034,754359,70263,11670,118579,24498,183,5369,659,843,514,956,2972,6127,8
29,"Johns Hopkins Health System",2011,2431,121380,680464,44289,338210,1289117,70821,1627327,189632,30590,231180,37386,106,16427,2531,178,2472,0,5181,10468,6
29,"Johns Hopkins Health System",2012,2422,119421,679470,45019,351437,1347970,72888,1699407,187298,30236,229695,36123,121,17666,2438,285,2766,204,5598,11412,6
29,"Johns Hopkins Health System",2013,2495,118964,692325,44068,358700,1371162,73265,1729862,188910,29903,239704,37270,135,17747,1594,310,2795,180,4879,9893,6
29,"Johns Hopkins Health System",2014,2422,117738,685314,42633,351990,1397752,72649,1749742,185724,28619,240571,38396,179,17795,1565,166,3122,167,5020,10219,6
29,"Johns Hopkins Health System",2015,2395,117587,687394,41039,345036,1450537,75422,1795573,192137,30793,240298,39661,199,17803,938,159,2610,149,5147,9202,6
29,"Johns Hopkins Health System",2016,2298,114734,661133,42271,365744,1393826,79689,1759570,177682,27479,229369,38032,211,18099,2276,222,3331,220,6049,12309,6
30,"Geisinger Health System (PA)",2011,1021,53601,257627,18184,139386,1447547,28417,1586933,46273,10296,125513,24194,327,7286,438,1085,103,100,1726,3779,4
30,"Geisinger Health System (PA)",2012,1103,53796,265067,19549,157602,1545421,28975,1703023,46236,9717,132812,25164,359,7673,299,1332,80,114,1825,4009,4
30,"Geisinger Health System (PA)",2013,1103,51784,259286,15536,309657,1383947,26311,1693604,58332,10161,118613,22369,251,7459,0,0,0,0,0,251,4
